Data field,Subcategory,School Year,State,Region ##,District,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed (Current),Special Ed (Former),Continu- ously Enrolled,Non-Continu- ously Enrolled,Econ Disadv,EB/EL (Current & Monitored),Unnamed: 18
STAAR Performance Rate by Subject and Performance Level Grade 3 Reading,STAAR Performance Rate by Subject and Performance Level Grade 3 Reading,,,,,,,,,,,,,,,,,,
Grade 7 Reading,At Approaches Grade Level or Above,2021,SDA07ARE1S21R,RDA07ARE1S21R,DDA07ARE1S21R,DDB07ARE1S21R,DDH07ARE1S21R,DDW07ARE1S21R,DDI07ARE1S21R,DD307ARE1S21R,DD407ARE1S21R,DD207ARE1S21R,DDS07ARE1S21R,DNS07ARE1S21R,DNC07ARE1S21R,DNM07ARE1S21R,DDE07ARE1S21R,DD007ARE1S21R,
Grade 7 Reading,At Approaches Grade Level or Above,2019,SDA07ARE1S19R,RDA07ARE1S19R,DDA07ARE1S19R,DDB07ARE1S19R,DDH07ARE1S19R,DDW07ARE1S19R,DDI07ARE1S19R,DD307ARE1S19R,DD407ARE1S19R,DD207ARE1S19R,DDS07ARE1S19R,DNS07ARE1S19R,DNC07ARE1S19R,DNM07ARE1S19R,DDE07ARE1S19R,DD007ARE1S19R,
Grade 7 Reading,At Meets Grade Level or Above,2021,SDA07ARE1221R,RDA07ARE1221R,DDA07ARE1221R,DDB07ARE1221R,DDH07ARE1221R,DDW07ARE1221R,DDI07ARE1221R,DD307ARE1221R,DD407ARE1221R,DD207ARE1221R,DDS07ARE1221R,DNS07ARE1221R,DNC07ARE1221R,DNM07ARE1221R,DDE07ARE1221R,DD007ARE1221R,
Grade 7 Reading,At Meets Grade Level or Above,2019,SDA07ARE1219R,RDA07ARE1219R,DDA07ARE1219R,DDB07ARE1219R,DDH07ARE1219R,DDW07ARE1219R,DDI07ARE1219R,DD307ARE1219R,DD407ARE1219R,DD207ARE1219R,DDS07ARE1219R,DNS07ARE1219R,DNC07ARE1219R,DNM07ARE1219R,DDE07ARE1219R,DD007ARE1219R,
Grade 7 Reading,At Masters Grade Level,2021,SDA07ARE1321R,RDA07ARE1321R,DDA07ARE1321R,DDB07ARE1321R,DDH07ARE1321R,DDW07ARE1321R,DDI07ARE1321R,DD307ARE1321R,DD407ARE1321R,DD207ARE1321R,DDS07ARE1321R,DNS07ARE1321R,DNC07ARE1321R,DNM07ARE1321R,DDE07ARE1321R,DD007ARE1321R,
Grade 7 Reading,At Masters Grade Level,2019,SDA07ARE1319R,RDA07ARE1319R,DDA07ARE1319R,DDB07ARE1319R,DDH07ARE1319R,DDW07ARE1319R,DDI07ARE1319R,DD307ARE1319R,DD407ARE1319R,DD207ARE1319R,DDS07ARE1319R,DNS07ARE1319R,DNC07ARE1319R,DNM07ARE1319R,DDE07ARE1319R,DD007ARE1319R,
Grade 7 Mathematics,Grade 7 Mathematics,,,,,,,,,,,,,,,,,,
Grade 7 Mathematics,At Approaches Grade Level or Above,2021,SDA07AMA1S21R,RDA07AMA1S21R,DDA07AMA1S21R,DDB07AMA1S21R,DDH07AMA1S21R,DDW07AMA1S21R,DDI07AMA1S21R,DD307AMA1S21R,DD407AMA1S21R,DD207AMA1S21R,DDS07AMA1S21R,DNS07AMA1S21R,DNC07AMA1S21R,DNM07AMA1S21R,DDE07AMA1S21R,DD007AMA1S21R,
Grade 7 Mathematics,At Approaches Grade Level or Above,2019,SDA07AMA1S19R,RDA07AMA1S19R,DDA07AMA1S19R,DDB07AMA1S19R,DDH07AMA1S19R,DDW07AMA1S19R,DDI07AMA1S19R,DD307AMA1S19R,DD407AMA1S19R,DD207AMA1S19R,DDS07AMA1S19R,DNS07AMA1S19R,DNC07AMA1S19R,DNM07AMA1S19R,DDE07AMA1S19R,DD007AMA1S19R,
Grade 7 Mathematics,At Meets Grade Level or Above,2021,SDA07AMA1221R,RDA07AMA1221R,DDA07AMA1221R,DDB07AMA1221R,DDH07AMA1221R,DDW07AMA1221R,DDI07AMA1221R,DD307AMA1221R,DD407AMA1221R,DD207AMA1221R,DDS07AMA1221R,DNS07AMA1221R,DNC07AMA1221R,DNM07AMA1221R,DDE07AMA1221R,DD007AMA1221R,
Grade 7 Mathematics,At Meets Grade Level or Above,2019,SDA07AMA1219R,RDA07AMA1219R,DDA07AMA1219R,DDB07AMA1219R,DDH07AMA1219R,DDW07AMA1219R,DDI07AMA1219R,DD307AMA1219R,DD407AMA1219R,DD207AMA1219R,DDS07AMA1219R,DNS07AMA1219R,DNC07AMA1219R,DNM07AMA1219R,DDE07AMA1219R,DD007AMA1219R,
Grade 7 Mathematics,At Masters Grade Level,2021,SDA07AMA1321R,RDA07AMA1321R,DDA07AMA1321R,DDB07AMA1321R,DDH07AMA1321R,DDW07AMA1321R,DDI07AMA1321R,DD307AMA1321R,DD407AMA1321R,DD207AMA1321R,DDS07AMA1321R,DNS07AMA1321R,DNC07AMA1321R,DNM07AMA1321R,DDE07AMA1321R,DD007AMA1321R,
Grade 7 Mathematics,At Masters Grade Level,2019,SDA07AMA1319R,RDA07AMA1319R,DDA07AMA1319R,DDB07AMA1319R,DDH07AMA1319R,DDW07AMA1319R,DDI07AMA1319R,DD307AMA1319R,DD407AMA1319R,DD207AMA1319R,DDS07AMA1319R,DNS07AMA1319R,DNC07AMA1319R,DNM07AMA1319R,DDE07AMA1319R,DD007AMA1319R,
Grade 7 Writing,Grade 7 Writing,,,,,,,,,,,,,,,,,,
Grade 7 Writing,At Approaches Grade Level or Above,2021,SDA07AWR1S21R,RDA07AWR1S21R,DDA07AWR1S21R,DDB07AWR1S21R,DDH07AWR1S21R,DDW07AWR1S21R,DDI07AWR1S21R,DD307AWR1S21R,DD407AWR1S21R,DD207AWR1S21R,DDS07AWR1S21R,DNS07AWR1S21R,DNC07AWR1S21R,DNM07AWR1S21R,DDE07AWR1S21R,DD007AWR1S21R,
Grade 7 Writing,At Approaches Grade Level or Above,2019,SDA07AWR1S19R,RDA07AWR1S19R,DDA07AWR1S19R,DDB07AWR1S19R,DDH07AWR1S19R,DDW07AWR1S19R,DDI07AWR1S19R,DD307AWR1S19R,DD407AWR1S19R,DD207AWR1S19R,DDS07AWR1S19R,DNS07AWR1S19R,DNC07AWR1S19R,DNM07AWR1S19R,DDE07AWR1S19R,DD007AWR1S19R,
Grade 7 Writing,At Meets Grade Level or Above,2021,SDA07AWR1221R,RDA07AWR1221R,DDA07AWR1221R,DDB07AWR1221R,DDH07AWR1221R,DDW07AWR1221R,DDI07AWR1221R,DD307AWR1221R,DD407AWR1221R,DD207AWR1221R,DDS07AWR1221R,DNS07AWR1221R,DNC07AWR1221R,DNM07AWR1221R,DDE07AWR1221R,DD007AWR1221R,
Grade 7 Writing,At Meets Grade Level or Above,2019,SDA07AWR1219R,RDA07AWR1219R,DDA07AWR1219R,DDB07AWR1219R,DDH07AWR1219R,DDW07AWR1219R,DDI07AWR1219R,DD307AWR1219R,DD407AWR1219R,DD207AWR1219R,DDS07AWR1219R,DNS07AWR1219R,DNC07AWR1219R,DNM07AWR1219R,DDE07AWR1219R,DD007AWR1219R,
Grade 7 Writing,At Masters Grade Level,2021,SDA07AWR1321R,RDA07AWR1321R,DDA07AWR1321R,DDB07AWR1321R,DDH07AWR1321R,DDW07AWR1321R,DDI07AWR1321R,DD307AWR1321R,DD407AWR1321R,DD207AWR1321R,DDS07AWR1321R,DNS07AWR1321R,DNC07AWR1321R,DNM07AWR1321R,DDE07AWR1321R,DD007AWR1321R,
Grade 7 Writing,At Masters Grade Level,2019,SDA07AWR1319R,RDA07AWR1319R,DDA07AWR1319R,DDB07AWR1319R,DDH07AWR1319R,DDW07AWR1319R,DDI07AWR1319R,DD307AWR1319R,DD407AWR1319R,DD207AWR1319R,DDS07AWR1319R,DNS07AWR1319R,DNC07AWR1319R,DNM07AWR1319R,DDE07AWR1319R,DD007AWR1319R,
Grade 8 Reading+,Grade 8 Reading+,,,,,,,,,,,,,,,,,,
Grade 8 Reading+,At Approaches Grade Level or Above,2021,SDA08ARE1S21R,RDA08ARE1S21R,DDA08ARE1S21R,DDB08ARE1S21R,DDH08ARE1S21R,DDW08ARE1S21R,DDI08ARE1S21R,DD308ARE1S21R,DD408ARE1S21R,DD208ARE1S21R,DDS08ARE1S21R,DNS08ARE1S21R,DNC08ARE1S21R,DNM08ARE1S21R,DDE08ARE1S21R,DD008ARE1S21R,
Grade 8 Reading+,At Approaches Grade Level or Above,2019,SDA08ARE1S19R,RDA08ARE1S19R,DDA08ARE1S19R,DDB08ARE1S19R,DDH08ARE1S19R,DDW08ARE1S19R,DDI08ARE1S19R,DD308ARE1S19R,DD408ARE1S19R,DD208ARE1S19R,DDS08ARE1S19R,DNS08ARE1S19R,DNC08ARE1S19R,DNM08ARE1S19R,DDE08ARE1S19R,DD008ARE1S19R,
Grade 8 Reading+,At Meets Grade Level or Above,2021,SDA08ARE1221R,RDA08ARE1221R,DDA08ARE1221R,DDB08ARE1221R,DDH08ARE1221R,DDW08ARE1221R,DDI08ARE1221R,DD308ARE1221R,DD408ARE1221R,DD208ARE1221R,DDS08ARE1221R,DNS08ARE1221R,DNC08ARE1221R,DNM08ARE1221R,DDE08ARE1221R,DD008ARE1221R,
Grade 8 Reading+,At Meets Grade Level or Above,2019,SDA08ARE1219R,RDA08ARE1219R,DDA08ARE1219R,DDB08ARE1219R,DDH08ARE1219R,DDW08ARE1219R,DDI08ARE1219R,DD308ARE1219R,DD408ARE1219R,DD208ARE1219R,DDS08ARE1219R,DNS08ARE1219R,DNC08ARE1219R,DNM08ARE1219R,DDE08ARE1219R,DD008ARE1219R,
Grade 8 Reading+,At Masters Grade Level,2021,SDA08ARE1321R,RDA08ARE1321R,DDA08ARE1321R,DDB08ARE1321R,DDH08ARE1321R,DDW08ARE1321R,DDI08ARE1321R,DD308ARE1321R,DD408ARE1321R,DD208ARE1321R,DDS08ARE1321R,DNS08ARE1321R,DNC08ARE1321R,DNM08ARE1321R,DDE08ARE1321R,DD008ARE1321R,
Grade 8 Reading+,At Masters Grade Level,2019,SDA08ARE1319R,RDA08ARE1319R,DDA08ARE1319R,DDB08ARE1319R,DDH08ARE1319R,DDW08ARE1319R,DDI08ARE1319R,DD308ARE1319R,DD408ARE1319R,DD208ARE1319R,DDS08ARE1319R,DNS08ARE1319R,DNC08ARE1319R,DNM08ARE1319R,DDE08ARE1319R,DD008ARE1319R,
Grade 8 Mathematics+,Grade 8 Mathematics+,,,,,,,,,,,,,,,,,,
Grade 8 Mathematics+,At Approaches Grade Level or Above,2021,SDA08AMA1S21R,RDA08AMA1S21R,DDA08AMA1S21R,DDB08AMA1S21R,DDH08AMA1S21R,DDW08AMA1S21R,DDI08AMA1S21R,DD308AMA1S21R,DD408AMA1S21R,DD208AMA1S21R,DDS08AMA1S21R,DNS08AMA1S21R,DNC08AMA1S21R,DNM08AMA1S21R,DDE08AMA1S21R,DD008AMA1S21R,
Grade 8 Mathematics+,At Approaches Grade Level or Above,2019,SDA08AMA1S19R,RDA08AMA1S19R,DDA08AMA1S19R,DDB08AMA1S19R,DDH08AMA1S19R,DDW08AMA1S19R,DDI08AMA1S19R,DD308AMA1S19R,DD408AMA1S19R,DD208AMA1S19R,DDS08AMA1S19R,DNS08AMA1S19R,DNC08AMA1S19R,DNM08AMA1S19R,DDE08AMA1S19R,DD008AMA1S19R,
Grade 8 Mathematics+,At Meets Grade Level or Above,2021,SDA08AMA1221R,RDA08AMA1221R,DDA08AMA1221R,DDB08AMA1221R,DDH08AMA1221R,DDW08AMA1221R,DDI08AMA1221R,DD308AMA1221R,DD408AMA1221R,DD208AMA1221R,DDS08AMA1221R,DNS08AMA1221R,DNC08AMA1221R,DNM08AMA1221R,DDE08AMA1221R,DD008AMA1221R,
Grade 8 Mathematics+,At Meets Grade Level or Above,2019,SDA08AMA1219R,RDA08AMA1219R,DDA08AMA1219R,DDB08AMA1219R,DDH08AMA1219R,DDW08AMA1219R,DDI08AMA1219R,DD308AMA1219R,DD408AMA1219R,DD208AMA1219R,DDS08AMA1219R,DNS08AMA1219R,DNC08AMA1219R,DNM08AMA1219R,DDE08AMA1219R,DD008AMA1219R,
Grade 8 Mathematics+,At Masters Grade Level,2021,SDA08AMA1321R,RDA08AMA1321R,DDA08AMA1321R,DDB08AMA1321R,DDH08AMA1321R,DDW08AMA1321R,DDI08AMA1321R,DD308AMA1321R,DD408AMA1321R,DD208AMA1321R,DDS08AMA1321R,DNS08AMA1321R,DNC08AMA1321R,DNM08AMA1321R,DDE08AMA1321R,DD008AMA1321R,
Grade 8 Mathematics+,At Masters Grade Level,2019,SDA08AMA1319R,RDA08AMA1319R,DDA08AMA1319R,DDB08AMA1319R,DDH08AMA1319R,DDW08AMA1319R,DDI08AMA1319R,DD308AMA1319R,DD408AMA1319R,DD208AMA1319R,DDS08AMA1319R,DNS08AMA1319R,DNC08AMA1319R,DNM08AMA1319R,DDE08AMA1319R,DD008AMA1319R,
Grade 8 Science,Grade 8 Science,,,,,,,,,,,,,,,,,,
Grade 8 Science,At Approaches Grade Level or Above,2021,SDA08ASC1S21R,RDA08ASC1S21R,DDA08ASC1S21R,DDB08ASC1S21R,DDH08ASC1S21R,DDW08ASC1S21R,DDI08ASC1S21R,DD308ASC1S21R,DD408ASC1S21R,DD208ASC1S21R,DDS08ASC1S21R,DNS08ASC1S21R,DNC08ASC1S21R,DNM08ASC1S21R,DDE08ASC1S21R,DD008ASC1S21R,
Grade 8 Science,At Approaches Grade Level or Above,2019,SDA08ASC1S19R,RDA08ASC1S19R,DDA08ASC1S19R,DDB08ASC1S19R,DDH08ASC1S19R,DDW08ASC1S19R,DDI08ASC1S19R,DD308ASC1S19R,DD408ASC1S19R,DD208ASC1S19R,DDS08ASC1S19R,DNS08ASC1S19R,DNC08ASC1S19R,DNM08ASC1S19R,DDE08ASC1S19R,DD008ASC1S19R,
Grade 8 Science,At Meets Grade Level or Above,2021,SDA08ASC1221R,RDA08ASC1221R,DDA08ASC1221R,DDB08ASC1221R,DDH08ASC1221R,DDW08ASC1221R,DDI08ASC1221R,DD308ASC1221R,DD408ASC1221R,DD208ASC1221R,DDS08ASC1221R,DNS08ASC1221R,DNC08ASC1221R,DNM08ASC1221R,DDE08ASC1221R,DD008ASC1221R,
Grade 8 Science,At Meets Grade Level or Above,2019,SDA08ASC1219R,RDA08ASC1219R,DDA08ASC1219R,DDB08ASC1219R,DDH08ASC1219R,DDW08ASC1219R,DDI08ASC1219R,DD308ASC1219R,DD408ASC1219R,DD208ASC1219R,DDS08ASC1219R,DNS08ASC1219R,DNC08ASC1219R,DNM08ASC1219R,DDE08ASC1219R,DD008ASC1219R,
Grade 8 Science,At Masters Grade Level,2021,SDA08ASC1321R,RDA08ASC1321R,DDA08ASC1321R,DDB08ASC1321R,DDH08ASC1321R,DDW08ASC1321R,DDI08ASC1321R,DD308ASC1321R,DD408ASC1321R,DD208ASC1321R,DDS08ASC1321R,DNS08ASC1321R,DNC08ASC1321R,DNM08ASC1321R,DDE08ASC1321R,DD008ASC1321R,
Grade 8 Science,At Masters Grade Level,2019,SDA08ASC1319R,RDA08ASC1319R,DDA08ASC1319R,DDB08ASC1319R,DDH08ASC1319R,DDW08ASC1319R,DDI08ASC1319R,DD308ASC1319R,DD408ASC1319R,DD208ASC1319R,DDS08ASC1319R,DNS08ASC1319R,DNC08ASC1319R,DNM08ASC1319R,DDE08ASC1319R,DD008ASC1319R,
Grade 8 Social Studies,Grade 8 Social Studies,,,,,,,,,,,,,,,,,,
Grade 8 Social Studies,At Approaches Grade Level or Above,2021,SDA08ASS1S21R,RDA08ASS1S21R,DDA08ASS1S21R,DDB08ASS1S21R,DDH08ASS1S21R,DDW08ASS1S21R,DDI08ASS1S21R,DD308ASS1S21R,DD408ASS1S21R,DD208ASS1S21R,DDS08ASS1S21R,DNS08ASS1S21R,DNC08ASS1S21R,DNM08ASS1S21R,DDE08ASS1S21R,DD008ASS1S21R,
Grade 8 Social Studies,At Approaches Grade Level or Above,2019,SDA08ASS1S19R,RDA08ASS1S19R,DDA08ASS1S19R,DDB08ASS1S19R,DDH08ASS1S19R,DDW08ASS1S19R,DDI08ASS1S19R,DD308ASS1S19R,DD408ASS1S19R,DD208ASS1S19R,DDS08ASS1S19R,DNS08ASS1S19R,DNC08ASS1S19R,DNM08ASS1S19R,DDE08ASS1S19R,DD008ASS1S19R,
Grade 8 Social Studies,At Meets Grade Level or Above,2021,SDA08ASS1221R,RDA08ASS1221R,DDA08ASS1221R,DDB08ASS1221R,DDH08ASS1221R,DDW08ASS1221R,DDI08ASS1221R,DD308ASS1221R,DD408ASS1221R,DD208ASS1221R,DDS08ASS1221R,DNS08ASS1221R,DNC08ASS1221R,DNM08ASS1221R,DDE08ASS1221R,DD008ASS1221R,
Grade 8 Social Studies,At Meets Grade Level or Above,2019,SDA08ASS1219R,RDA08ASS1219R,DDA08ASS1219R,DDB08ASS1219R,DDH08ASS1219R,DDW08ASS1219R,DDI08ASS1219R,DD308ASS1219R,DD408ASS1219R,DD208ASS1219R,DDS08ASS1219R,DNS08ASS1219R,DNC08ASS1219R,DNM08ASS1219R,DDE08ASS1219R,DD008ASS1219R,
Grade 8 Social Studies,At Masters Grade Level,2021,SDA08ASS1321R,RDA08ASS1321R,DDA08ASS1321R,DDB08ASS1321R,DDH08ASS1321R,DDW08ASS1321R,DDI08ASS1321R,DD308ASS1321R,DD408ASS1321R,DD208ASS1321R,DDS08ASS1321R,DNS08ASS1321R,DNC08ASS1321R,DNM08ASS1321R,DDE08ASS1321R,DD008ASS1321R,
Grade 8 Social Studies,At Masters Grade Level,2019,SDA08ASS1319R,RDA08ASS1319R,DDA08ASS1319R,DDB08ASS1319R,DDH08ASS1319R,DDW08ASS1319R,DDI08ASS1319R,DD308ASS1319R,DD408ASS1319R,DD208ASS1319R,DDS08ASS1319R,DNS08ASS1319R,DNC08ASS1319R,DNM08ASS1319R,DDE08ASS1319R,DD008ASS1319R,
End of Course English I,End of Course English I,,,,,,,,,,,,,,,,,,
End of Course English I,At Approaches Grade Level or Above,2021,SDA00AR11S21R,RDA00AR11S21R,DDA00AR11S21R,DDB00AR11S21R,DDH00AR11S21R,DDW00AR11S21R,DDI00AR11S21R,DD300AR11S21R,DD400AR11S21R,DD200AR11S21R,DDS00AR11S21R,DNS00AR11S21R,DNC00AR11S21R,DNM00AR11S21R,DDE00AR11S21R,DD000AR11S21R,
End of Course English I,At Approaches Grade Level or Above,2019,SDA00AR11S19R,RDA00AR11S19R,DDA00AR11S19R,DDB00AR11S19R,DDH00AR11S19R,DDW00AR11S19R,DDI00AR11S19R,DD300AR11S19R,DD400AR11S19R,DD200AR11S19R,DDS00AR11S19R,DNS00AR11S19R,DNC00AR11S19R,DNM00AR11S19R,DDE00AR11S19R,DD000AR11S19R,
End of Course English I,At Meets Grade Level or Above,2021,SDA00AR11221R,RDA00AR11221R,DDA00AR11221R,DDB00AR11221R,DDH00AR11221R,DDW00AR11221R,DDI00AR11221R,DD300AR11221R,DD400AR11221R,DD200AR11221R,DDS00AR11221R,DNS00AR11221R,DNC00AR11221R,DNM00AR11221R,DDE00AR11221R,DD000AR11221R,
End of Course English I,At Meets Grade Level or Above,2019,SDA00AR11219R,RDA00AR11219R,DDA00AR11219R,DDB00AR11219R,DDH00AR11219R,DDW00AR11219R,DDI00AR11219R,DD300AR11219R,DD400AR11219R,"DD200AR11219R
:selected:",DDS00AR11219R,DNS00AR11219R,DNC00AR11219R,DNM00AR11219R,DDE00AR11219R,DD000AR11219R,
End of Course English I,At Masters Grade Level,2021,SDA00AR11321R,RDA00AR11321R,DDA00AR11321R,DDB00AR11321R,DDH00AR11321R,DDW00AR11321R,DDI00AR11321R,DD300AR11321R,DD400AR11321R,DD200AR11321R,DDS00AR11321R,DNS00AR11321R,DNC00AR11321R,DNM00AR11321R,DDE00AR11321R,DD000AR11321R,
End of Course English I,At Masters Grade Level,2019,SDA00AR11319R,RDA00AR11319R,DDA00AR11319R,DDB00AR11319R,DDH00AR11319R,DDW00AR11319R,DDI00AR11319R,DD300AR11319R,DD400AR11319R,DD200AR11319R,DDS00AR11319R,DNS00AR11319R,DNC00AR11319R,DNM00AR11319R,DDE00AR11319R,DD000AR11319R,
End of Course English II,End of Course English II,,,,,,,,,,,,,,,,,,
End of Course English II,At Approaches Grade Level or Above,2021,SDA00AR21S21R,RDA00AR21S21R,DDA00AR21S21R,DDB00AR21S21R,DDH00AR21S21R,DDW00AR21S21R,DDI00AR21S21R,DD300AR21S21R,DD400AR21S21R,DD200AR21S21R,DDS00AR21S21R,DNS00AR21S21R,DNC00AR21S21R,DNM00AR21S21R,DDE00AR21S21R,DD000AR21S21R,
End of Course English II,At Approaches Grade Level or Above,2019,SDA00AR21S19R,RDA00AR21S19R,DDA00AR21S19R,DDB00AR21S19R,DDH00AR21S19R,DDW00AR21S19R,DDI00AR21S19R,DD300AR21S19R,DD400AR21S19R,DD200AR21S19R,DDS00AR21S19R,DNS00AR21S19R,DNC00AR21S19R,DNM00AR21S19R,DDE00AR21S19R,DD000AR21S19R,
End of Course English II,At Meets Grade Level or Above,2021,SDA00AR21221R,RDA00AR21221R,DDA00AR21221R,DDB00AR21221R,DDH00AR21221R,DDW00AR21221R,DDI00AR21221R,DD300AR21221R,DD400AR21221R,"DD200AR21221R
:selected:",DDS00AR21221R,DNS00AR21221R,DNC00AR21221R,DNM00AR21221R,DDE00AR21221R,DD000AR21221R,
End of Course English II,At Meets Grade Level or Above,2019,SDA00AR21219R,RDA00AR21219R,DDA00AR21219R,DDB00AR21219R,DDH00AR21219R,DDW00AR21219R,DDI00AR21219R,DD300AR21219R,DD400AR21219R,DD200AR21219R,DDS00AR21219R,DNS00AR21219R,DNC00AR21219R,DNM00AR21219R,DDE00AR21219R,DD000AR21219R,
End of Course English II,At Masters Grade Level,2021,SDA00AR21321R,RDA00AR21321R,DDA00AR21321R,DDB00AR21321R,DDH00AR21321R,DDW00AR21321R,DDI00AR21321R,DD300AR21321R,DD400AR21321R,DD200AR21321R,DDS00AR21321R,DNS00AR21321R,DNC00AR21321R,DNM00AR21321R,DDE00AR21321R,DD000AR21321R,
End of Course English II,At Masters Grade Level,2019,SDA00AR21319R,RDA00AR21319R,DDA00AR21319R,DDB00AR21319R,DDH00AR21319R,DDW00AR21319R,DDI00AR21319R,DD300AR21319R,DD400AR21319R,DD200AR21319R,DDS00AR21319R,DNS00AR21319R,DNC00AR21319R,DNM00AR21319R,DDE00AR21319R,DD000AR21319R,
End of Course Algebra I,End of Course Algebra I,,,,,,,,,,,,,,,,,,
End of Course Algebra I,At Approaches Grade Level or Above,2021,SDA00AA11S21R,RDA00AA11S21R,DDA00AA11S21R,DDB00AA11S21R,DDH00AA11S21R,DDW00AA11S21R,DDI00AA11S21R,DD300AA11S21R,DD400AA11S21R,DD200AA11S21R,DDS00AA11S21R,DNS00AA11S21R,DNC00AA11S21R,DNM00AA11S21R,DDE00AA11S21R,DD000AA11S21R,
End of Course Algebra I,At Approaches Grade Level or Above,2019,SDA00AA11S19R,RDA00AA11S19R,DDA00AA11S19R,DDB00AA11S19R,DDH00AA11S19R,DDW00AA11S19R,DDI00AA11S19R,DD300AA11S19R,DD400AA11S19R,DD200AA11S19R,DDS00AA11S19R,DNS00AA11S19R,DNC00AA11S19R,DNM00AA11S19R,DDE00AA11S19R,DD000AA11S19R,
End of Course Algebra I,At Meets Grade Level or Above,2021,SDA00AA11221R,RDA00AA11221R,DDA00AA11221R,DDB00AA11221R,DDH00AA11221R,DDW00AA11221R,DDI00AA11221R,DD300AA11221R,DD400AA11221R,DD200AA11221R,DDS00AA11221R,DNS00AA11221R,DNC00AA11221R,DNM00AA11221R,DDE00AA11221R,DD000AA11221R,
End of Course Algebra I,At Meets Grade Level or Above,2019,SDA00AA11219R,RDA00AA11219R,DDA00AA11219R,DDB00AA11219R,DDH00AA11219R,DDW00AA11219R,DDI00AA11219R,DD300AA11219R,DD400AA11219R,DD200AA11219R,DDS00AA11219R,DNS00AA11219R,DNC00AA11219R,DNM00AA11219R,DDE00AA11219R,DD000AA11219R,
End of Course Algebra I,At Masters Grade Level,2021,SDA00AA11321R,RDA00AA11321R,DDA00AA11321R,DDB00AA11321R,DDH00AA11321R,DDW00AA11321R,DDI00AA11321R,DD300AA11321R,DD400AA11321R,DD200AA11321R,DDS00AA11321R,DNS00AA11321R,DNC00AA11321R,DNM00AA11321R,DDE00AA11321R,DD000AA11321R,
End of Course Algebra I,At Masters Grade Level,2019,SDA00AA11319R,RDA00AA11319R,DDA00AA11319R,DDB00AA11319R,DDH00AA11319R,DDW00AA11319R,DDI00AA11319R,DD300AA11319R,DD400AA11319R,DD200AA11319R,DDS00AA11319R,DNS00AA11319R,DNC00AA11319R,DNM00AA11319R,DDE00AA11319R,DD000AA11319R,
,At Masters Grade Level,,,,,,,,,,,,,,,,,,
,At Masters Grade Level,School Year,State,Region ##,District,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed (Current),Special Ed (Former),Continu- ously Enrolled,Non-Continu- ously Enrolled,Econ Disadv,EB/EL (Current & Monitored),
End of Course Biology,End of Course Biology,,,,,,,,,,,,,,,,,,
End of Course Biology,At Approaches Grade Level or Above,2021,SDA00ABI1S21R,RDA00ABI1S21R,DDA00ABI1S21R,DDB00ABI1S21R,DDH00ABI1S21R,DDW00ABI1S21R,DDI00ABI1S21R,DD300ABI1S21R,DD400ABI1S21R,DD200ABI1S21R,DDS00ABI1S21R,DNS00ABI1S21R,DNC00ABI1S21R,DNM00ABI1S21R,DDE00ABI1S21R,DD000ABI1S21R,
End of Course Biology,At Approaches Grade Level or Above,2019,SDA00ABI1S19R,RDA00ABI1S19R,DDA00ABI1S19R,DDB00ABI1S19R,DDH00ABI1S19R,DDW00ABI1S19R,DDI00ABI1S19R,DD300ABI1S19R,DD400ABI1S19R,DD200ABI1S19R,DDS00ABI1S19R,DNS00ABI1S19R,DNC00ABI1S19R,DNM00ABI1S19R,DDE00ABI1S19R,DD000ABI1S19R,
End of Course Biology,At Meets Grade Level or Above,2021,SDA00ABI1221R,RDA00ABI1221R,DDA00ABI1221R,DDB00ABI1221R,DDH00ABI1221R,DDW00ABI1221R,DDI00ABI1221R,DD300ABI1221R,DD400ABI1221R,DD200ABI1221R,DDS00ABI1221R,DNS00ABI1221R,DNC00ABI1221R,DNM00ABI1221R,DDE00ABI1221R,DD000ABI1221R,
End of Course Biology,At Meets Grade Level or Above,2019,SDA00ABI1219R,RDA00ABI1219R,DDA00ABI1219R,DDB00ABI1219R,DDH00ABI1219R,DDW00ABI1219R,DDI00ABI1219R,DD300ABI1219R,DD400ABI1219R,DD200ABI1219R,DDS00ABI1219R,DNS00ABI1219R,DNC00ABI1219R,DNM00ABI1219R,DDE00ABI1219R,DD000ABI1219R,
End of Course Biology,At Masters Grade Level,2021,SDA00ABI1321R,RDA00ABI1321R,DDA00ABI1321R,DDB00ABI1321R,DDH00ABI1321R,DDW00ABI1321R,DDI00ABI1321R,DD300ABI1321R,DD400ABI1321R,DD200ABI1321R,DDS00ABI1321R,DNS00ABI1321R,DNC00ABI1321R,DNM00ABI1321R,DDE00ABI1321R,DD000ABI1321R,
End of Course Biology,At Masters Grade Level,2019,SDA00ABI1319R,RDA00ABI1319R,DDA00ABI1319R,DDB00ABI1319R,DDH00ABI1319R,DDW00ABI1319R,DDI00ABI1319R,DD300ABI1319R,DD400ABI1319R,DD200ABI1319R,DDS00ABI1319R,DNS00ABI1319R,DNC00ABI1319R,DNM00ABI1319R,DDE00ABI1319R,DD000ABI1319R,
End of Course U.S. History,End of Course U.S. History,,,,,,,,,,,,,,,,,,
