At Masters Grade Level,2022,SDA00AC01322R,DDA00AC01322R,CDA00AC01322R,CDB00AC01322R,CDH00AC01322R,CDW00AC01322R,CDI00AC01322R,CD300AC01322R,CD400AC01322R,"CD200AC01322R
:unselected:","CDS00AC01322R
:unselected:","CNS00AC01322R
:unselected:","CNC00AC01322R
:unselected:","CNM00AC01322R
:unselected:","CDE00AC01322R
:unselected:","CD000AC01322R
:unselected:",
,2021,SDA00AC01321R,DDA00AC01321R,CDA00AC01321R,CDB00AC01321R,CDH00AC01321R,CDW00AC01321R,CDI00AC01321R,CD300AC01321R,CD400AC01321R,"CD200AC01321R
:unselected:","CDS00AC01321R
:unselected:","CNS00AC01321R
:unselected:","CNC00AC01321R
:unselected:","CNM00AC01321R
:unselected:","CDE00AC01321R
:unselected:","CD000AC01321R
:unselected:",
All Grades Social Studies,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022,SDA00AS01S22R,DDA00AS01S22R,CDA00AS01S22R,CDB00AS01S22R,CDH00AS01S22R,CDW00AS01S22R,CDI00AS01S22R,CD300AS01S22R,CD400AS01S22R,"CD200AS01S22R
:unselected:","CDS00AS01S22R
:unselected:","CNS00AS01S22R
:unselected:","CNC00AS01S22R
:unselected:","CNM00AS01S22R
:unselected:","CDE00AS01S22R
:unselected:","CD000AS01S22R
:unselected:",
,2021,SDA00AS01S21R,DDA00AS01S21R,CDA00AS01S21R,CDB00AS01S21R,CDH00AS01S21R,CDW00AS01S21R,CDI00AS01S21R,CD300AS01S21R,CD400AS01S21R,CD200AS01S21R,"CDS00AS01S21R
:unselected:","CNS00AS01S21R
:unselected:","CNC00AS01S21R
:unselected:","CNM00AS01S21R
:unselected:","CDE00AS01S21R
:unselected:",CD000AS01S21R,
At Meets Grade Level or Above,2022,SDA00AS01222R,DDA00AS01222R,CDA00AS01222R,CDB00AS01222R,CDH00AS01222R,CDW00AS01222R,CDI00AS01222R,CD300AS01222R,CD400AS01222R,"CD200AS01222R
:unselected:","CDS00AS01222R
:unselected:","CNS00AS01222R
:unselected:","CNC00AS01222R
:unselected:","CNM00AS01222R
:unselected:","CDE00AS01222R
:unselected:","CD000AS01222R
:unselected:",
,2021,SDA00AS01221R,DDA00AS01221R,CDA00AS01221R,CDB00AS01221R,CDH00AS01221R,CDW00AS01221R,CDI00AS01221R,CD300AS01221R,CD400AS01221R,"CD200AS01221R
:unselected:","CDS00AS01221R
:unselected:","CNS00AS01221R
:unselected:","CNC00AS01221R
:unselected:","CNM00AS01221R
:unselected:","CDE00AS01221R
:unselected:","CD000AS01221R
:unselected:",
At Masters Grade Level,2022,SDA00AS01322R,DDA00AS01322R,CDA00AS01322R,CDB00AS01322R,CDH00AS01322R,CDW00AS01322R,CDI00AS01322R,CD300AS01322R,CD400AS01322R,"CD200AS01322R
:unselected:","CDS00AS01322R
:unselected:","CNS00AS01322R
:unselected:","CNC00AS01322R
:unselected:","CNM00AS01322R
:unselected:","CDE00AS01322R
:unselected:",CD000AS01322R,
,2021,SDA00AS01321R,DDA00AS01321R,CDA00AS01321R,CDB00AS01321R,CDH00AS01321R,CDW00AS01321R,CDI00AS01321R,CD300AS01321R,CD400AS01321R,"CD200AS01321R
:unselected:","CDS00AS01321R
:unselected:","CNS00AS01321R
:unselected:","CNC00AS01321R
:unselected:","CNM00AS01321R
:unselected:","CDE00AS01321R
:unselected:",CD000AS01321R,
,,,,,,,,,,,,,,,,,,
,School Year,State,District,Campus,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More,Special Ed (Current),Special Ed (Former),Continu- ously Enrolled,Non-Continu- ously Enrolled,Econ Disadv,EB/EL (Current & Monitored),
,,,,,,,,,,,Races,,,,,,,
School Progress Domain - Academic Growth Score by Grade and Subject,,,,,,,,,,,,,,,,,,
Grade 4 ELA/Reading,2022 2019,"SDA04AR0200022R
SDA04AR0200019R","DDA04AR0200022R
DDA04AR0200019R",CDA04AR0200022R CDA04AR0200019R,CDB04AR0200022R CDB04AR0200019R,"CDH04AR0200022R CDH04AR0200019R
:unselected:",CDW04AR0200022R CDW04AR0200019R,CDI04AR0200022R CDI04AR0200019R,"CD304AR0200022R CD304AR0200019R
:unselected:","CD404AR0200022R CD404AR0200019R
:unselected:","CD204AR0200022R CD204AR0200019R
:unselected:","CDS04AR0200022R CDS04AR0200019R
:unselected:","CNS04AR0200022R CNS04AR0200019R
:unselected:","CNC04AR0200022R
CNC04AR0200019R
:unselected:","CNM04AR0200022R
CNM04AR0200019R
:unselected:","CDE04AR0200022R
CDE04AR0200019R
:unselected:","CD004AR0200022R
CD004AR0200019R
:unselected:",
Grade 4 Mathematics,2022,SDA04AM0200022R,DDA04AM0200022R,CDA04AM0200022R,CDB04AM0200022R,"CDH04AM0200022R
:unselected:
:unselected:",CDW04AM0200022R,CDI04AM0200022R,CD304AM0200022R,"CD404AM0200022R
:unselected:","CD204AM0200022R
:unselected:
:unselected:","CDS04AM0200022R
:unselected:
:unselected:","CNS04AM0200022R
:unselected:
:unselected:","CNC04AM0200022R
:unselected:
:unselected:","CNM04AM0200022R
:unselected:
:unselected:","CDE04AM0200022R
:unselected:
:unselected:","CD004AM0200022R
:unselected:
:unselected:",
,2019,SDA04AM0200019R,DDA04AM0200019R,CDA04AM0200019R,CDB04AM0200019R,"CDH04AM0200019R
:unselected:",CDW04AM0200019R,CDI04AM0200019R,CD304AM0200019R,CD404AM0200019R,"CD204AM0200019R
:unselected:","CDS04AM0200019R
:unselected:","CNS04AM0200019R
:unselected:","CNC04AM0200019R
:unselected:","CNM04AM0200019R
:unselected:","CDE04AM0200019R
:unselected:","CD004AM0200019R
:unselected:",
Grade 5 ELA/Reading,2022,SDA05AR0200022R,DDA05AR0200022R,CDA05AR0200022R,CDB05AR0200022R,"CDH05AR0200022R
:unselected:",CDW05AR0200022R,CDI05AR0200022R,CD305AR0200022R,"CD405AR0200022R
:unselected:","CD205AR0200022R
:unselected:","CDS05AR0200022R
:unselected:","CNS05AR0200022R
:unselected:","CNC05AR0200022R
:unselected:","CNM05AR0200022R
:unselected:","CDE05AR0200022R
:unselected:","CD005AR0200022R
:unselected:",
,2019,SDA05AR0200019R,DDA05AR0200019R,CDA05AR0200019R,CDB05AR0200019R,"CDH05AR0200019R
:unselected:",CDW05AR0200019R,CDI05AR0200019R,CD305AR0200019R,"CD405AR0200019R
:unselected:","CD205AR0200019R
:unselected:","CDS05AR0200019R
:unselected:","CNS05AR0200019R
:unselected:","CNC05AR0200019R
:unselected:","CNM05AR0200019R
:unselected:","CDE05AR0200019R
:unselected:","CD005AR0200019R
:unselected:",
Grade 5 Mathematics,2022,SDA05AM0200022R,DDA05AM0200022R,CDA05AM0200022R,CDB05AM0200022R,"CDH05AM0200022R
:unselected:",CDW05AM0200022R,CDI05AM0200022R,CD305AM0200022R,CD405AM0200022R,"CD205AM0200022R
:unselected:","CDS05AM0200022R
:unselected:","CNS05AM0200022R
:unselected:","CNC05AM0200022R
:unselected:","CNM05AM0200022R
:unselected:","CDE05AM0200022R
:unselected:","CD005AM0200022R
:unselected:",
,2019,SDA05AM0200019R,DDA05AM0200019R,CDA05AM0200019R,CDB05AM0200019R,"CDH05AM0200019R
:unselected:",CDW05AM0200019R,CDI05AM0200019R,CD305AM0200019R,CD405AM0200019R,"CD205AM0200019R
:unselected:","CDS05AM0200019R
:unselected:","CNS05AM0200019R
:unselected:","CNC05AM0200019R
:unselected:","CNM05AM0200019R
:unselected:","CDE05AM0200019R
:unselected:","CD005AM0200019R
:unselected:",
Grade 6 ELA/Reading,2022,SDA06AR0200022R,DDA06AR0200022R,CDA06AR0200022R,CDB06AR0200022R,"CDH06AR0200022R
:unselected:",CDW06AR0200022R,CDI06AR0200022R,CD306AR0200022R,"CD406AR0200022R
:unselected:","CD206AR0200022R
:unselected:","CDS06AR0200022R
:unselected:","CNS06AR0200022R
:unselected:","CNC06AR0200022R
:unselected:","CNM06AR0200022R
:unselected:","CDE06AR0200022R
:unselected:","CD006AR0200022R
:unselected:",
Grade 6 Mathematics,"2019
2022","SDA06AR0200019R
SDA06AM0200022R","DDA06AR0200019R
DDA06AM0200022R","CDA06AR0200019R
CDA06AM0200022R","CDB06AR0200019R
CDB06AM0200022R","CDH06AR0200019R
CDH06AM0200022R
:unselected:","CDW06AR0200019R
CDW06AM0200022R","CDI06AR0200019R
CDI06AM0200022R","CD306AR0200019R
CD306AM0200022R","CD406AR0200019R
CD406AM0200022R
:unselected:","CD206AR0200019R
CD206AM0200022R
:unselected:","CDS06AR0200019R
CDS06AM0200022R
:unselected:
:unselected:","CNS06AR0200019R
CNS06AM0200022R
:unselected:","CNC06AR0200019R
CNC06AM0200022R
:unselected:","CNM06AR0200019R
CNM06AM0200022R
:unselected:
:unselected:","CDE06AR0200019R
CDE06AM0200022R
:unselected:
:unselected:","CD006AR0200019R
CD006AM0200022R
:unselected:
:unselected:",
,2019,SDA06AM0200019R,DDA06AM0200019R,CDA06AM0200019R,CDB06AM0200019R,"CDH06AM0200019R
:unselected:
:unselected:",CDW06AM0200019R,CDI06AM0200019R,CD306AM0200019R,"CD406AM0200019R
:unselected:
:unselected:","CD206AM0200019R
:unselected:
:unselected:","CDS06AM0200019R
:unselected:","CNS06AM0200019R
:unselected:
:unselected:","CNC06AM0200019R
:unselected:
:unselected:","CNM06AM0200019R
:unselected:","CDE06AM0200019R
:unselected:","CD006AM0200019R
:unselected:",
Grade 7 ELA/Reading,2022,SDA07AR0200022R,DDA07AR0200022R,CDA07AR0200022R,CDB07AR0200022R,"CDH07AR0200022R
:unselected:",CDW07AR0200022R,CDI07AR0200022R,CD307AR0200022R,"CD407AR0200022R
:unselected:","CD207AR0200022R
:unselected:","CDS07AR0200022R
:unselected:","CNS07AR0200022R
:unselected:","CNC07AR0200022R
:unselected:","CNM07AR0200022R
:unselected:","CDE07AR0200022R
:unselected:","CD007AR0200022R
:unselected:",
Grade 7 Mathematics,"2019
2022","SDA07AR0200019R
SDA07AM0200022R","DDA07AR0200019R
DDA07AM0200022R","CDA07AR0200019R
CDA07AM0200022R","CDB07AR0200019R
CDB07AM0200022R","CDH07AR0200019R
CDH07AM0200022R
:unselected:","CDW07AR0200019R
CDW07AM0200022R","CDI07AR0200019R
CDI07AM0200022R","CD307AR0200019R
CD307AM0200022R","CD407AR0200019R
CD407AM0200022R
:unselected:","CD207AR0200019R
CD207AM0200022R
:unselected:
:unselected:","CDS07AR0200019R
CDS07AM0200022R
:unselected:","CNS07AR0200019R
CNS07AM0200022R
:unselected:
:unselected:","CNC07AR0200019R
CNC07AM0200022R
:unselected:
:unselected:","CNM07AR0200019R
CNM07AM0200022R
:unselected:
:unselected:","CDE07AR0200019R
CDE07AM0200022R
:unselected:
:unselected:","CD007AR0200019R
CD007AM0200022R
:unselected:
:unselected:",
,2019,SDA07AM0200019R,DDA07AM0200019R,CDA07AM0200019R,CDB07AM0200019R,"CDH07AM0200019R
:unselected:
:unselected:","CDW07AM0200019R
:unselected:",CDI07AM0200019R,CD307AM0200019R,CD407AM0200019R,"CD207AM0200019R
:unselected:","CDS07AM0200019R
:unselected:","CNS07AM0200019R
:unselected:","CNC07AM0200019R
:unselected:","CNM07AM0200019R
:unselected:","CDE07AM0200019R
:unselected:","CD007AM0200019R
:unselected:",
Grade 8 ELA/Reading,2022,SDA08AR0200022R,DDA08AR0200022R,CDA08AR0200022R,CDB08AR0200022R,"CDH08AR0200022R
:unselected:","CDW08AR0200022R
:unselected:",CDI08AR0200022R,CD308AR0200022R,"CD408AR0200022R
:unselected:","CD208AR0200022R
:unselected:","CDS08AR0200022R
:unselected:","CNS08AR0200022R
:unselected:","CNC08AR0200022R
:unselected:","CNM08AR0200022R
:unselected:","CDE08AR0200022R
:unselected:","CD008AR0200022R
:unselected:",
,2019,SDA08AR0200019R,DDA08AR0200019R,CDA08AR0200019R,CDB08AR0200019R,"CDH08AR0200019R
:unselected:","CDW08AR0200019R
:unselected:",CDI08AR0200019R,CD308AR0200019R,"CD408AR0200019R
:unselected:","CD208AR0200019R
:unselected:","CDS08AR0200019R
:unselected:","CNS08AR0200019R
:unselected:","CNC08AR0200019R
:unselected:","CNM08AR0200019R
:unselected:","CDE08AR0200019R
:unselected:","CD008AR0200019R
:unselected:",
Grade 8 Mathematics,2022,SDA08AM0200022R,DDA08AM0200022R,CDA08AM0200022R,CDB08AM0200022R,"CDH08AM0200022R
:unselected:","CDW08AM0200022R
:unselected:",CDI08AM0200022R,"CD308AM0200022R
:unselected:","CD408AM0200022R
:unselected:","CD208AM0200022R
:unselected:","CDS08AM0200022R
:unselected:","CNS08AM0200022R
:unselected:","CNC08AM0200022R
:unselected:","CNM08AM0200022R
:unselected:","CDE08AM0200022R
:unselected:","CD008AM0200022R
:unselected:",
,2019,SDA08AM0200019R,DDA08AM0200019R,CDA08AM0200019R,CDB08AM0200019R,"CDH08AM0200019R
:unselected:","CDW08AM0200019R
:unselected:",CDI08AM0200019R,CD308AM0200019R,CD408AM0200019R,"CD208AM0200019R
:unselected:","CDS08AM0200019R
:unselected:","CNS08AM0200019R
:unselected:","CNC08AM0200019R
:unselected:","CNM08AM0200019R
:unselected:","CDE08AM0200019R
:unselected:","CD008AM0200019R
:unselected:",
End of Course English II,2022,SDA00AE2200022R,DDA00AE2200022R,CDA00AE2200022R,CDB00AE2200022R,"CDH00AE2200022R
:unselected:",CDW00AE2200022R,CDI00AE2200022R,CD300AE2200022R,"CD400AE2200022R
:unselected:","CD200AE2200022R
:unselected:","CDS00AE2200022R
:unselected:","CNS00AE2200022R
:unselected:","CNC00AE2200022R
:unselected:","CNM00AE2200022R
:unselected:","CDE00AE2200022R
:unselected:","CD000AE2200022R
:unselected:",
,2019,SDA00AE2200019R,DDA00AE2200019R,CDA00AE2200019R,CDB00AE2200019R,"CDH00AE2200019R
:unselected:",CDW00AE2200019R,CDI00AE2200019R,CD300AE2200019R,"CD400AE2200019R
:unselected:","CD200AE2200019R
:unselected:","CDS00AE2200019R
:unselected:","CNS00AE2200019R
:unselected:","CNC00AE2200019R
:unselected:","CNM00AE2200019R
:unselected:","CDE00AE2200019R
:unselected:","CD000AE2200019R
:unselected:",
End of Course Algebra I,2022,SDA00AA1200022R,DDA00AA1200022R,CDA00AA1200022R,CDB00AA1200022R,"CDH00AA1200022R
:unselected:",CDW00AA1200022R,CDI00AA1200022R,CD300AA1200022R,"CD400AA1200022R
:unselected:","CD200AA1200022R
:unselected:","CDS00AA1200022R
:unselected:","CNS00AA1200022R
:unselected:","CNC00AA1200022R
:unselected:","CNM00AA1200022R
:unselected:","CDE00AA1200022R
:unselected:","CD000AA1200022R
:unselected:",
,2019,SDA00AA1200019R,DDA00AA1200019R,CDA00AA1200019R,CDB00AA1200019R,"CDH00AA1200019R
:unselected:",CDW00AA1200019R,CDI00AA1200019R,CD300AA1200019R,"CD400AA1200019R
:unselected:","CD200AA1200019R
:unselected:","CDS00AA1200019R
:unselected:","CNS00AA1200019R
:unselected:","CNC00AA1200019R
:unselected:","CNM00AA1200019R
:unselected:","CDE00AA1200019R
:unselected:","CD000AA1200019R
:unselected:",
All Grades Both Subjects,"2022
2019","SDA00A00200022R
SDA00A00200019R","DDA00A00200022R
DDA00A00200019R","CDA00A00200022R
CDA00A00200019R","CDB00A00200022R
CDB00A00200019R","CDH00A00200022R
CDH00A00200019R
:unselected:
:unselected:","CDW00A00200022R
CDW00A00200019R","CDI00A00200022R
CDI00A00200019R","CD300A00200022R
CD300A00200019R","CD400A00200022R
CD400A00200019R
:unselected:
:unselected:","CD200A00200022R
CD200A00200019R
:unselected:
:unselected:","CDS00A00200022R
CDS00A00200019R
:unselected:
:unselected:","CNS00A00200022R
CNS00A00200019R
:unselected:
:unselected:","CNC00A00200022R
CNC00A00200019R
:unselected:
:unselected:","CNM00A00200022R
CNM00A00200019R
:unselected:
:unselected:","CDE00A00200022R
CDE00A00200019R
:unselected:
:unselected:","CD000A00200022R
CD000A00200019R
:unselected:
:unselected:",
All Grades ELA/Reading,2022,SDA00AR0200022R,DDA00AR0200022R,CDA00AR0200022R,CDB00AR0200022R,"CDH00AR0200022R
:unselected:",CDW00AR0200022R,CDI00AR0200022R,CD300AR0200022R,"CD400AR0200022R
:unselected:","CD200AR0200022R
:unselected:","CDS00AR0200022R
:unselected:","CNS00AR0200022R
:unselected:","CNC00AR0200022R
:unselected:","CNM00AR0200022R
:unselected:","CDE00AR0200022R
:unselected:","CD000AR0200022R
:unselected:",
,2019,SDA00AR0200019R,DDA00AR0200019R,CDA00AR0200019R,CDB00AR0200019R,CDH00AR0200019R,"CDW00AR0200019R
:unselected:",CDI00AR0200019R,CD300AR0200019R,"CD400AR0200019R
:unselected:","CD200AR0200019R
:unselected:","CDS00AR0200019R
:unselected:","CNS00AR0200019R
:unselected:","CNC00AR0200019R
:unselected:","CNM00AR0200019R
:unselected:","CDE00AR0200019R
:unselected:","CD000AR0200019R
:unselected:",
All Grades Mathematics,2022,SDA00AM0200022R,DDA00AM0200022R,CDA00AM0200022R,CDB00AM0200022R,CDH00AM0200022R,CDW00AM0200022R,CDI00AM0200022R,CD300AM0200022R,"CD400AM0200022R
:unselected:","CD200AM0200022R
:unselected:","CDS00AM0200022R
:unselected:","CNS00AM0200022R
:unselected:","CNC00AM0200022R
:unselected:","CNM00AM0200022R
:unselected:","CDE00AM0200022R
:unselected:","CD000AM0200022R
:unselected:",
,2019,SDA00AM0200019R,DDA00AM0200019R,CDA00AM0200019R,CDB00AM0200019R,CDH00AM0200019R,CDW00AM0200019R,CDI00AM0200019R,CD300AM0200019R,"CD400AM0200019R
:unselected:","CD200AM0200019R
:unselected:","CDS00AM0200019R
:unselected:","CNS00AM0200019R
:unselected:","CNC00AM0200019R
:unselected:","CNM00AM0200019R
:unselected:","CDE00AM0200019R
:unselected:","CD000AM0200019R
:unselected:",
,,,,,,,,,,,,,,,,,,
,,State,District,Campus,Total Bilingual,BE-Trans,BE-Trans Late Exit,BE-Dual Two-Way,BE-Dual One-Way,ALP Bilingual (Exception),Total ESL,ESL Content-Based,ESL Pull-Out,ALP ESL,EB/EL with,Never,Total,Monitored &
,,,,,Education,Early Exit,,,,,,,,(Waiver),Parental Denial,EB/EL,EB/EL (Current),Former EB/EL
STAAR Performance Rate by Subject and Performance Level All Grades All Subjects,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022 2021,SDA00A001S22R SDA00A001S21R,DDA00A001S22R DDA00A001S21R,CDA00A001S22R CDA00A001S21R,CDU00A001S22R CDU00A001S21R,CDJ00A001S22R CDJ00A001S21R,CDK00A001S22R CDK00A001S21R,CDQ00A001S22R CDQ00A001S21R,CDT00A001S22R CDT00A001S21R,CNB00A001S22R CNB00A001S21R,CDC00A001S22R CDC00A001S21R,CDX00A001S22R CDX00A001S21R,CDY00A001S22R CDY00A001S21R,"CNE00A001S22R CNE00A001S21R
:unselected:",CDZ00A001S22R CDZ00A001S21R,CD800A001S22R CD800A001S21R,CDL00A001S22R CDL00A001S21R,"CNT00A001S22R CNT00A001S21R
:unselected:"
At Meets Grade Level or Above At Masters Grade Level,2022 2021 2022 2021,SDA00A001222R SDA00A001221R SDA00A001322R SDA00A001321R,DDA00A001222R DDA00A001221R DDA00A001322R DDA00A001321R,CDA00A001222R CDA00A001221R CDA00A001322R CDA00A001321R,CDU00A001222R CDU00A001221R CDU00A001322R CDU00A001321R,CDJ00A001222R CDJ00A001221R CDJ00A001322R CDJ00A001321R,CDK00A001222R CDK00A001221R CDK00A001322R CDK00A001321R,CDQ00A001222R CDQ00A001221R CDQ00A001322R CDQ00A001321R,CDT00A001222R CDT00A001221R CDT00A001322R CDT00A001321R,CNB00A001222R CNB00A001221R CNB00A001322R CNB00A001321R,CDC00A001222R CDC00A001221R CDC00A001322R CDC00A001321R,"CDX00A001222R CDX00A001221R CDX00A001322R CDX00A001321R
:unselected:",CDY00A001222R CDY00A001221R CDY00A001322R CDY00A001321R,"CNE00A001222R CNE00A001221R CNE00A001322R CNE00A001321R
:unselected:
:unselected:",CDZ00A001222R CDZ00A001221R CDZ00A001322R CDZ00A001321R,CD800A001222R CD800A001221R CD800A001322R CD800A001321R,CDL00A001222R CDL00A001221R CDL00A001322R CDL00A001321R,"CNT00A001222R CNT00A001221R CNT00A001322R CNT00A001321R
:unselected:
:unselected:"
All Grades ELA/Reading,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022,SDA00AR01S22R,DDA00AR01S22R,CDA00AR01S22R,CDU00AR01S22R,CDJ00AR01S22R,CDK00AR01S22R,CDQ00AR01S22R,CDT00AR01S22R,CNB00AR01S22R,CDC00AR01S22R,"CDX00AR01S22R
:unselected:",CDY00AR01S22R,"CNE00AR01S22R
:unselected:",CDZ00AR01S22R,CD800AR01S22R,CDL00AR01S22R,CNT00AR01S22R
,2021,SDA00AR01S21R,DDA00AR01S21R,CDA00AR01S21R,CDU00AR01S21R,CDJ00AR01S21R,CDK00AR01S21R,CDQ00AR01S21R,CDT00AR01S21R,CNB00AR01S21R,CDC00AR01S21R,CDX00AR01S21R,CDY00AR01S21R,CNE00AR01S21R,CDZ00AR01S21R,CD800AR01S21R,CDL00AR01S21R,CNT00AR01S21R
At Meets Grade Level or Above,2022 2021,SDA00AR01322R SDA00AR01321R,DDA00AR01322R DDA00AR01321R,CDA00AR01322R CDA00AR01321R,CDU00AR01322R CDU00AR01321R,CDJ00AR01322R CDJ00AR01321R,CDK00AR01322R CDK00AR01321R,CDQ00AR01322R CDQ00AR01321R,CDT00AR01322R CDT00AR01321R,CNB00AR01222R CNB00AR01221R,CDC00AR01322R CDC00AR01321R,"CDX00AR01322R CDX00AR01321R
:unselected:",CDY00AR01322R CDY00AR01321R,CNE00AR01222R CNE00AR01221R,CDZ00AR01322R CDZ00AR01321R,CD800AR01222R CD800AR01221R,CDL00AR01322R CDL00AR01321R,CNT00AR01222R CNT00AR01221R
At Masters Grade Level,2022 2021,SDA00AR01222R SDA00AR01221R,DDA00AR01222R DDA00AR01221R,CDA00AR01222R CDA00AR01221R,CDU00AR01222R CDU00AR01221R,CDJ00AR01222R CDJ00AR01221R,CDK00AR01222R CDK00AR01221R,CDQ00AR01222R CDQ00AR01221R,CDT00AR01222R CDT00AR01221R,CNB00AR01322R CNB00AR01321R,CDC00AR01222R CDC00AR01221R,CDX00AR01222R CDX00AR01221R,CDY00AR01222R CDY00AR01221R,CNE00AR01322R CNE00AR01321R,CDZ00AR01222R CDZ00AR01221R,CD800AR01322R CD800AR01321R,CDL00AR01222R CDL00AR01221R,CNT00AR01322R CNT00AR01321R
All Grades Mathematics,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above At Meets Grade Level or Above,2022 2021 2022,SDA00AM01S22R SDA00AM01S21R SDA00AM01222R,DDA00AM01S22R DDA00AM01S21R DDA00AM01222R,CDA00AM01S22R CDA00AM01S21R CDA00AM01222R,CDU00AM01S22R CDU00AM01S21R CDU00AM01222R,CDJ00AM01S22R CDJ00AM01S21R CDJ00AM01222R,CDK00AM01S22R CDK00AM01S21R CDK00AM01222R,CDQ00AM01S22R CDQ00AM01S21R CDQ00AM01222R,CDT00AM01S22R CDT00AM01S21R CDT00AM01222R,CNB00AM01S22R CNB00AM01S21R CNB00AM01222R,CDC00AM01S22R CDC00AM01S21R CDC00AM01222R,CDX00AM01S22R CDX00AM01S21R CDX00AM01222R,CDY00AM01S22R CDY00AM01S21R CDY00AM01222R,CNE00AM01S22R CNE00AM01S21R CNE00AM01222R,CDZ00AM01S22R CDZ00AM01S21R CDZ00AM01222R,CD800AM01S22R CD800AM01S21R CD800AM01222R,CDL00AM01S22R CDL00AM01S21R CDL00AM01222R,CNT00AM01S22R CNT00AM01S21R CNT00AM01222R
,2021,SDA00AM01221R,DDA00AM01221R,CDA00AM01221R,CDU00AM01221R,CDJ00AM01221R,CDK00AM01221R,CDQ00AM01221R,CDT00AM01221R,CNB00AM01221R,CDC00AM01221R,CDX00AM01221R,CDY00AM01221R,CNE00AM01221R,CDZ00AM01221R,CD800AM01221R,CDL00AM01221R,CNT00AM01221R
At Masters Grade Level,2022 2021,SDA00AM01322R SDA00AM01321R,DDA00AM01322R DDA00AM01321R,CDA00AM01322R CDA00AM01321R,CDU00AM01322R CDU00AM01321R,CDJ00AM01322R CDJ00AM01321R,CDK00AM01322R CDK00AM01321R,CDQ00AM01322R CDQ00AM01321R,CDT00AM01322R CDT00AM01321R,CNB00AM01322R CNB00AM01321R,CDC00AM01322R CDC00AM01321R,CDX00AM01322R CDX00AM01321R,CDY00AM01322R CDY00AM01321R,CNE00AM01322R CNE00AM01321R,CDZ00AM01322R CDZ00AM01321R,CD800AM01322R CD800AM01321R,CDL00AM01322R CDL00AM01321R,CNT00AM01322R CNT00AM01321R
All Grades Science,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022,SDA00AC01S22R,DDA00AC01S22R,CDA00AC01S22R,CDU00AC01S22R,CDJ00AC01S22R,CDK00AC01S22R,CDQ00AC01S22R,CDT00AC01S22R,CNB00AC01S22R,CDC00AC01S22R,CDX00AC01S22R,CDY00AC01S22R,CNE00AC01S22R,CDZ00AC01S22R,CD800AC01S22R,CDL00AC01S22R,CNT00AC01S22R
,2021,SDA00AC01S21R,DDA00AC01S21R,CDA00AC01S21R,CDU00AC01S21R,CDJ00AC01S21R,CDK00AC01S21R,CDQ00AC01S21R,CDT00AC01S21R,CNB00AC01S21R,CDC00AC01S21R,CDX00AC01S21R,CDY00AC01S21R,CNE00AC01S21R,CDZ00AC01S21R,CD800AC01S21R,CDL00AC01S21R,CNT00AC01S21R
At Meets Grade Level or Above,2022 2021,SDA00AC01222R SDA00AC01221R,DDA00AC01222R DDA00AC01221R,CDA00AC01222R CDA00AC01221R,CDU00AC01222R CDU00AC01221R,CDJ00AC01222R CDJ00AC01221R,CDK00AC01222R CDK00AC01221R,CDQ00AC01222R CDQ00AC01221R,CDT00AC01222R CDT00AC01221R,CNB00AC01222R CNB00AC01221R,"CDC00AC01222R
CDC00AC01221R","CDX00AC01222R
CDX00AC01221R","CDY00AC01222R
CDY00AC01221R","CNE00AC01222R
CNE00AC01221R","CDZ00AC01222R
CDZ00AC01221R","CD800AC01222R
CD800AC01221R",CDL00AC01222R CDL00AC01221R,CNT00AC01222R CNT00AC01221R
At Masters Grade Level,"2022
2021","SDA00AC01322R
SDA00AC01321R","DDA00AC01322R
DDA00AC01321R","CDA00AC01322R
CDA00AC01321R","CDU00AC01322R
CDU00AC01321R","CDJ00AC01322R
CDJ00AC01321R","CDK00AC01322R
CDK00AC01321R",CDQ00AC01322R CDQ00AC01321R,"CDT00AC01322R
CDT00AC01321R","CNB00AC01322R
CNB00AC01321R","CDC00AC01322R
CDC00AC01321R","CDX00AC01322R
CDX00AC01321R","CDY00AC01322R
CDY00AC01321R","CNE00AC01322R
CNE00AC01321R","CDZ00AC01322R
CDZ00AC01321R","CD800AC01322R
CD800AC01321R",CDL00AC01322R CDL00AC01321R,"CNT00AC01322R
CNT00AC01321R"
All Grades Social Studies,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022,SDA00AS01S22R,DDA00AS01S22R,CDA00AS01S22R,CDU00AS01S22R,CDJ00AS01S22R,CDK00AS01S22R,CDQ00AS01S22R,CDT00AS01S22R,CNB00AS01S22R,CDC00AS01S22R,CDX00AS01S22R,CDY00AS01S22R,CNE00AS01S22R,CDZ00AS01S22R,CD800AS01S22R,CDL00AS01S22R,CNT00AS01S22R
