Reading,2017 2016,SA00AR02E17R SA00AR02E16R,RA00AR02E17R RA00AR02E16R,"DA00AR02E17R DA00AR02E16R
:unselected:
:unselected:","DU00AR02E17R DU00AR02E16R
:unselected:
:unselected:","DJ00AR02E17R DJ00AR02E16R
:unselected:
:unselected:","DK00AR02E17R DK00AR02E16R
:unselected:
:unselected:","DQ00AR02E17R DQ00AR02E16R
:unselected:
:unselected:","DT00AR02E17R DT00AR02E16R
:unselected:
:unselected:","DC00AR02E17R DC00AR02E16R
:unselected:
:unselected:","DX00AR02E17R DX00AR02E16R
:unselected:
:unselected:","DY00AR02E17R DY00AR02E16R
:unselected:
:unselected:","DZ00AR02E17R DZ00AR02E16R
:unselected:
:unselected:","D500AR02E17R D500AR02E16R
:unselected:
:unselected:",DL00AR02E17R DL00AR02E16R
Mathematics,2017 2016,SA00AM02E17R SA00AM02E16R,RA00AM02E17R RA00AM02E16R,"DA00AM02E17R DA00AM02E16R
:unselected:
:unselected:","DU00AM02E17R DU00AM02E16R
:unselected:
:unselected:","DJ00AM02E17R DJ00AM02E16R
:unselected:
:unselected:","DK00AM02E17R DK00AM02E16R
:unselected:
:unselected:","DQ00AM02E17R DQ00AM02E16R
:unselected:
:selected:","DT00AM02E17R DT00AM02E16R
:unselected:
:unselected:","DC00AM02E17R DC00AM02E16R
:unselected:
:unselected:","DX00AM02E17R DX00AM02E16R
:unselected:
:unselected:","DY00AM02E17R DY00AM02E16R
:unselected:
:unselected:","DZ00AM02E17R DZ00AM02E16R
:unselected:
:unselected:","D500AM02E17R D500AM02E16R
:unselected:",DL00AM02E17R DL00AM02E16R
Progress of Prior-Year Non-Proficient Students,,,,,,,,,,,,,,,
Sum of Grades 4-8,,,,,,,,,,,,,,,
Reading,2017,SA408FR17R,RA408FR17R,"DA408FR17R
:unselected:","DU408FR17R
:unselected:","DJ408FR17R
:unselected:","DK408FR17R
:unselected:","DQ408FR17R
:unselected:","DT408FR17R
:unselected:","DC408FR17R
:unselected:","DX408FR17R
:unselected:","DY408FR17R
:unselected:","DZ408FR17R
:unselected:","D5408FR17R
:unselected:",DL408FR17R
,2016,SA408FR16R,RA408FR16R,"DA408FR16R
:unselected:","DU408FR16R
:unselected:",DJ408FR16R,"DK408FR16R
:unselected:","DQ408FR16R
:unselected:","DT408FR16R
:unselected:",DC408FR16R,"DX408FR16R
:unselected:","DY408FR16R
:unselected:",DZ408FR16R,D5408FR16R,DL408FR16R
Mathematics,2017,SA408FM17R,RA408FM17R,"DA408FM17R
:unselected:","DU408FM17R
:unselected:","DJ408FM17R
:unselected:","DK408FM17R
:unselected:","DQ408FM17R
:unselected:","DT408FM17R
:unselected:","DC408FM17R
:unselected:","DX408FM17R
:unselected:","DY408FM17R
:unselected:","DZ408FM17R
:unselected:","D5408FM17R
:unselected:",DL408FM17R
,,,,,,,,,,,,,,,
,State,Region ##,District,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed,Econ Disadv,ELL,,
2017 STAAR Participation (All Grades),,,,,,,,,,,,,,,
All Tests,,,,,,,,,,,,,,,
Test Participant,SA00A00T017R,RA00A00T017R,DA00A00T017R,"DB00A00T017R
:unselected:",DH00A00T017R,DW00A00T017R,DI00A00T017R,D300A00T017R,D400A00T017R,D200A00T017R,"DS00A00T017R
:unselected:",DE00A00T017R,DL00A00T017R,,
Included in Accountability,SAYAA00T017R,RAYAA00T017R,DAYAA00T017R,"DBYAA00T017R
:unselected:",DHYAA00T017R,DWYAA00T017R,DIYAA00T017R,D3YAA00T017R,D4YAA00T017R,D2YAA00T017R,"DSYAA00T017R
:unselected:",DEYAA00T017R,DLYAA00T017R,,
Not Included in Accountability,,,,,,,,,,,,,,,
Mobile Other Exclusions,SAYMA00T017R SAYXA00T017R,"RAYXA00T017R
RAYMA00T017R","DAYXA00T017R
DAYMA00T017R
:unselected:
:unselected:","DBYXA00T017R
DBYMA00T017R
:unselected:
:unselected:","DHYXA00T017R
DHYMA00T017R","DWYXA00T017R
DWYMA00T017R","DIYXA00T017R
DIYMA00T017R",D3YMA00T017R D3YXA00T017R,D4YMA00T017R D4YXA00T017R,D2YMA00T017R D2YXA00T017R,"DSYXA00T017R
DSYMA00T017R
:unselected:
:unselected:","DEYXA00T017R
DEYMA00T017R","DLYXA00T017R
DLYMA00T017R
:unselected:",,
Not Tested Absent Other,SANTA00T017R SANAA00T017R SANOA00T017R,"RANTA00T017R RANAA00T017R
RANOA00T017R","DANTA00T017R DANAA00T017R
DANOA00T017R
:unselected:
:unselected:
:unselected:","DBNAA00T017R DBNTA00T017R
DBNOA00T017R
:unselected:
:unselected:
:unselected:","DHNTA00T017R DHNAA00T017R
DHNOA00T017R","DWNTA00T017R
DWNAA00T017R
DWNOA00T017R","DINTA00T017R
DINAA00T017R
DINOA00T017R",D3NTA00T017R D3NAA00T017R D3NOA00T017R,D4NTA00T017R D4NAA00T017R D4NOA00T017R,D2NTA00T017R D2NAA00T017R D2NOA00T017R,"DSNTA00T017R DSNAA00T017R
DSNOA00T017R
:unselected:
:unselected:
:unselected:","DENTA00T017R DENAA00T017R
DENOA00T017R","DLNTA00T017R DLNAA00T017R
DLNOA00T017R
:unselected:",,
2016 STAAR Participation (All Grades),,,,,,,,,,,,,,,
All Tests,,,,,,,,,,,,,,,
Test Participant,SA00A00T016R,RA00A00T016R,"DA00A00T016R
:unselected:","DB00A00T016R
:unselected:",DH00A00T016R,DW00A00T016R,DI00A00T016R,D300A00T016R,D400A00T016R,D200A00T016R,DS00A00T016R,DE00A00T016R,DL00A00T016R,,
Included in Accountability,SAYAA00T016R,RAYAA00T016R,"DAYAA00T016R
:unselected:","DBYAA00T016R
:unselected:",DHYAA00T016R,DWYAA00T016R,DIYAA00T016R,D3YAA00T016R,D4YAA00T016R,D2YAA00T016R,DSYAA00T016R,DEYAA00T016R,"DLYAA00T016R
:unselected:",,
Not Included in Accountability,,,,,,,,,,,,,,,
Mobile,SAYMA00T016R,RAYMA00T016R,"DAYMA00T016R
:unselected:",DBYMA00T016R,DHYMA00T016R,DWYMA00T016R,DIYMA00T016R,D3YMA00T016R,D4YMA00T016R,D2YMA00T016R,DSYMA00T016R,DEYMA00T016R,DLYMA00T016R,,
Other Exclusions,SAYXA00T016R,RAYXA00T016R,"DAYXA00T016R
:unselected:",DBYXA00T016R,DHYXA00T016R,DWYXA00T016R,DIYXA00T016R,"D3YXA00T016R
:unselected:",D4YXA00T016R,D2YXA00T016R,DSYXA00T016R,DEYXA00T016R,"DLYXA00T016R
:unselected:",,
Not Tested,SANTA00T016R,RANTA00T016R,"DANTA00T016R
:unselected:","DBNTA00T016R
:unselected:",DHNTA00T016R,DWNTA00T016R,DINTA00T016R,D3NTA00T016R,D4NTA00T016R,D2NTA00T016R,"DSNTA00T016R
:unselected:",DENTA00T016R,"DLNTA00T016R
:unselected:",,
Absent,SANAA00T016R,RANAA00T016R,"DANAA00T016R
:unselected:",DBNAA00T016R,DHNAA00T016R,DWNAA00T016R,DINAA00T016R,D3NAA00T016R,D4NAA00T016R,D2NAA00T016R,DSNAA00T016R,DENAA00T016R,DLNAA00T016R,,
Other,SANOA00T016R,RANOA00T016R,DANOA00T016R,DBNOA00T016R,DHNOA00T016R,DWNOA00T016R,DINOA00T016R,D3NOA00T016R,D4NOA00T016R,D2NOA00T016R,DSNOA00T016R,DENOA00T016R,"DLNOA00T016R
:unselected:",,
,,,,,,,,,,,,,,,
District Number: DISTRICT,State,Region ##,District,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed,Econ Disadv,ELL,,
Attendance Rate,,,,,,,,,,,,,,,
2015-16,SA0AT16R,RA0AT16R,DA0AT16R,DB0AT16R,DH0AT16R,DW0AT16R,DI0AT16R,D30AT16R,D40AT16R,D20AT16R,DS0AT16R,DE0AT16R,DL0AT16R,,
2014-15,SA0AT15R,RA0AT15R,DA0AT15R,DB0AT15R,DH0AT15R,DW0AT15R,DI0AT15R,D30AT15R,D40AT15R,D20AT15R,DS0AT15R,DE0AT15R,DL0AT15R,,
Annual Dropout Rate (Gr 7-8),,,,,,,,,,,,,,,
2015-16,SA0708DR16R,RA0708DR16R,DA0708DR16R,DB0708DR16R,DH0708DR16R,DW0708DR16R,DI0708DR16R,D30708DR16R,D40708DR16R,D20708DR16R,DS0708DR16R,DE0708DR16R,DL0708DR16R,,
2014-15,SA0708DR15R,RA0708DR15R,DA0708DR15R,DB0708DR15R,DH0708DR15R,DW0708DR15R,DI0708DR15R,D30708DR15R,D40708DR15R,D20708DR15R,DS0708DR15R,DE0708DR15R,DL0708DR15R,,
Annual Dropout Rate (Gr 9-12),,,,,,,,,,,,,,,
2015-16 2014-15,SA0912DR16R SA0912DR15R,RA0912DR16R RA0912DR15R,"DA0912DR16R
DA0912DR15R","DB0912DR16R
DB0912DR15R","DH0912DR16R
DH0912DR15R","DW0912DR16R
DW0912DR15R","DI0912DR16R
DI0912DR15R","D30912DR16R
D30912DR15R","D40912DR16R
D40912DR15R","D20912DR16R
D20912DR15R","DS0912DR16R
DS0912DR15R",DE0912DR16R DE0912DR15R,DL0912DR16R DL0912DR15R,,
4-Year Longitudinal Rate (Gr 9-12) Class of 2016,,,,,,,,,,,,,,,
Graduated,SAGC416R,RAGC416R,DAGC4X16R,DBGC4X16R,DHGC4X16R,DWGC4X16R,DIGC4X16R,D3GC4X16R,D4GC4X16R,D2GC4X16R,DSGC4X16R,DEGC4X16R,DLGC4X16R,,
Received GED,SAEC416R,RAEC416R,DAEC4X16R,DBEC4X16R,DHEC4X16R,DWEC4X16R,DIEC4X16R,D3EC4X16R,D4EC4X16R,D2EC4X16R,DSEC4X16R,DEEC4X16R,DLEC4X16R,,
Continued HS,SANC416R,RANC416R,DANC4X16R,DBNC4X16R,DHNC4X16R,DWNC4X16R,DINC4X16R,D3NC4X16R,D4NC4X16R,D2NC4X16R,DSNC4X16R,DENC4X16R,DLNC4X16R,,
Dropped Out,SADC416R,RADC416R,DADC4X16R,DBDC4X16R,DHDC4X16R,DWDC4X16R,DIDC4X16R,D3DC4X16R,D4DC4X16R,D2DC4X16R,DSDC4X16R,DEDC4X16R,DLDC4X16R,,
Graduates and GED,SA3C416R,RA3C416R,DA3C4X16R,DB3C4X16R,DH3C4X16R,DW3C4X16R,DI3C4X16R,D33C4X16R,D43C4X16R,D23C4X16R,DS3C4X16R,DE3C4X16R,DL3C4X16R,,
"Grads, GED, & Cont",SA2C416R,RA2C416R,DA2C4X16R,DB2C4X16R,DH2C4X16R,DW2C4X16R,DI2C4X16R,D32C4X16R,D42C4X16R,D22C4X16R,DS2C4X16R,DE2C4X16R,DL2C4X16R,,
Class of 2015,,,,,,,,,,,,,,,
Graduated,SAGC415R,RAGC415R,DAGC4X15R,DBGC4X15R,DHGC4X15R,DWGC4X15R,DIGC4X15R,D3GC4X15R,D4GC4X15R,D2GC4X15R,DSGC4X15R,DEGC4X15R,DLGC4X15R,,
Received GED,SAEC415R,RAEC415R,DAEC4X15R,DBEC4X15R,DHEC4X15R,DWEC4X15R,DIEC4X15R,D3EC4X15R,D4EC4X15R,D2EC4X15R,DSEC4X15R,DEEC4X15R,DLEC4X15R,,
Continued HS,SANC415R,RANC415R,DANC4X15R,DBNC4X15R,DHNC4X15R,DWNC4X15R,DINC4X15R,D3NC4X15R,D4NC4X15R,D2NC4X15R,DSNC4X15R,DENC4X15R,DLNC4X15R,,
Dropped Out,SADC415R,RADC415R,DADC4X15R,DBDC4X15R,DHDC4X15R,DWDC4X15R,DIDC4X15R,D3DC4X15R,D4DC4X15R,D2DC4X15R,DSDC4X15R,DEDC4X15R,DLDC4X15R,,
Graduates and GED,SA3C415R,RA3C415R,DA3C4X15R,DB3C4X15R,DH3C4X15R,DW3C4X15R,DI3C4X15R,D33C4X15R,D43C4X15R,D23C4X15R,DS3C4X15R,DE3C4X15R,DL3C4X15R,,
"Grads, GED, & Cont",SA2C415R,RA2C415R,DA2C4X15R,DB2C4X15R,DH2C4X15R,DW2C4X15R,DI2C4X15R,D32C4X15R,D42C4X15R,D22C4X15R,DS2C4X15R,DE2C4X15R,DL2C4X15R,,
5-Year Extended Longitudinal Rate (Gr 9-12),,,,,,,,,,,,,,,
Class of 2015,,,,,,,,,,,,,,,
Graduated,SAGC515R,RAGC515R,DAGC5X15R,DBGC5X15R,DHGC5X15R,DWGC5X15R,DIGC5X15R,D3GC5X15R,D4GC5X15R,D2GC5X15R,DSGC5X15R,DEGC5X15R,DLGC5X15R,,
Received GED,SAEC515R,RAEC515R,DAEC5X15R,DBEC5X15R,DHEC5X15R,DWEC5X15R,DIEC5X15R,D3EC5X15R,D4EC5X15R,D2EC5X15R,DSEC5X15R,DEEC5X15R,DLEC5X15R,,
Continued HS,SANC515R,RANC515R,DANC5X15R,DBNC5X15R,DHNC5X15R,DWNC5X15R,DINC5X15R,D3NC5X15R,D4NC5X15R,D2NC5X15R,DSNC5X15R,DENC5X15R,DLNC5X15R,,
Dropped Out,SADC515R,RADC515R,DADC5X15R,DBDC5X15R,DHDC5X15R,DWDC5X15R,DIDC5X15R,D3DC5X15R,D4DC5X15R,D2DC5X15R,DSDC5X15R,DEDC5X15R,DLDC5X15R,,
Graduates and GED,SA3C515R,RA3C515R,DA3C5X15R,DB3C5X15R,DH3C5X15R,DW3C5X15R,DI3C5X15R,D33C5X15R,D43C5X15R,D23C5X15R,DS3C5X15R,DE3C5X15R,DL3C5X15R,,
"Grads, GED, & Cont",SA2C515R,RA2C515R,DA2C5X15R,DB2C5X15R,DH2C5X15R,DW2C5X15R,DI2C5X15R,D32C5X15R,D42C5X15R,D22C5X15R,DS2C5X15R,DE2C5X15R,DL2C5X15R,,
Class of 2014,,,,,,,,,,,,,,,
Graduated,SAGC514R,RAGC514R,DAGC5X14R,DBGC5X14R,DHGC5X14R,DWGC5X14R,DIGC5X14R,D3GC5X14R,D4GC5X14R,D2GC5X14R,DSGC5X14R,DEGC5X14R,DLGC5X14R,,
Received GED,SAEC514R,RAEC514R,DAEC5X14R,DBEC5X14R,DHEC5X14R,DWEC5X14R,DIEC5X14R,D3EC5X14R,D4EC5X14R,D2EC5X14R,DSEC5X14R,DEEC5X14R,DLEC5X14R,,
Continued HS,SANC514R,RANC514R,DANC5X14R,DBNC5X14R,DHNC5X14R,DWNC5X14R,DINC5X14R,D3NC5X14R,D4NC5X14R,D2NC5X14R,DSNC5X14R,DENC5X14R,DLNC5X14R,,
Dropped Out,SADC514R,RADC514R,DADC5X14R,DBDC5X14R,DHDC5X14R,DWDC5X14R,DIDC5X14R,D3DC5X14R,D4DC5X14R,D2DC5X14R,DSDC5X14R,DEDC5X14R,DLDC5X14R,,
Graduates and GED,SA3C514R,RA3C514R,DA3C5X14R,DB3C5X14R,DH3C5X14R,DW3C5X14R,DI3C5X14R,D33C5X14R,D43C5X14R,D23C5X14R,DS3C5X14R,DE3C5X14R,DL3C5X14R,,
"Grads, GED, & Cont",SA2C514R,RA2C514R,DA2C5X14R,DB2C5X14R,DH2C5X14R,DW2C5X14R,DI2C5X14R,D32C5X14R,D42C5X14R,D22C5X14R,DS2C5X14R,DE2C5X14R,DL2C5X14R,,
,,,,,,,,,,,,,,,
,State,Region ##,District,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed,Econ Disadv,ELL,,
6-Year Extended Longitudinal Rate (Gr 9-12),,,,,,,,,,,,,,,
Class of 2014,,,,,,,,,,,,,,,
Graduated,SAGC614R,RAGC614R,DAGC6X14R,DBGC6X14R,DHGC6X14R,DWGC6X14R,"DIGC6X14R
:unselected:",D3GC6X14R,D4GC6X14R,D2GC6X14R,DSGC6X14R,DEGC6X14R,DLGC6X14R,,
Received GED Continued HS,SAEC614R SANC614R,RAEC614R RANC614R,DAEC6X14R DANC6X14R,DBEC6X14R DBNC6X14R,DHEC6X14R DHNC6X14R,DWEC6X14R DWNC6X14R,"DIEC6X14R DINC6X14R
:unselected: :unselected:",D3EC6X14R D3NC6X14R,D4EC6X14R D4NC6X14R,D2EC6X14R D2NC6X14R,DSEC6X14R DSNC6X14R,DEEC6X14R DENC6X14R,DLEC6X14R DLNC6X14R,,
Dropped Out,SADC614R,RADC614R,DADC6X14R,DBDC6X14R,DHDC6X14R,DWDC6X14R,"DIDC6X14R
:unselected:",D3DC6X14R,D4DC6X14R,D2DC6X14R,DSDC6X14R,DEDC6X14R,DLDC6X14R,,
Graduates and GED,SA3C614R,RA3C614R,DA3C6X14R,DB3C6X14R,DH3C6X14R,DW3C6X14R,DI3C6X14R,D33C6X14R,D43C6X14R,D23C6X14R,DS3C6X14R,DE3C6X14R,DL3C6X14R,,
"Grads, GED, & Cont",SA2C614R,RA2C614R,DA2C6X14R,DB2C6X14R,DH2C6X14R,DW2C6X14R,DI2C6X14R,D32C6X14R,D42C6X14R,D22C6X14R,DS2C6X14R,DE2C6X14R,DL2C6X14R,,
Class of 2013,,,,,,,,,,,,,,,
Graduated,SAGC613R,RAGC613R,DAGC6X13R,DBGC6X13R,DHGC6X13R,DWGC6X13R,DIGC6X13R,D3GC6X13R,D4GC6X13R,D2GC6X13R,DSGC6X13R,DEGC6X13R,DLGC6X13R,,
Received GED,SAEC613R,RAEC613R,DAEC6X13R,DBEC6X13R,DHEC6X13R,DWEC6X13R,DIEC6X13R,D3EC6X13R,D4EC6X13R,D2EC6X13R,DSEC6X13R,DEEC6X13R,DLEC6X13R,,
Continued HS,SANC613R,RANC613R,DANC6X13R,DBNC6X13R,DHNC6X13R,DWNC6X13R,DINC6X13R,D3NC6X13R,D4NC6X13R,D2NC6X13R,DSNC6X13R,DENC6X13R,DLNC6X13R,,
Dropped Out,SADC613R,RADC613R,DADC6X13R,DBDC6X13R,DHDC6X13R,DWDC6X13R,DIDC6X13R,D3DC6X13R,D4DC6X13R,D2DC6X13R,DSDC6X13R,DEDC6X13R,DLDC6X13R,,
Graduates and GED,SA3C613R,RA3C613R,DA3C6X13R,DB3C6X13R,DH3C6X13R,DW3C6X13R,DI3C6X13R,D33C6X13R,D43C6X13R,D23C6X13R,DS3C6X13R,DE3C6X13R,DL3C6X13R,,
"Grads, GED, & Cont",SA2C613R,RA2C613R,DA2C6X13R,DB2C6X13R,DH2C6X13R,DW2C6X13R,DI2C6X13R,D32C6X13R,D42C6X13R,D22C6X13R,DS2C6X13R,DE2C6X13R,DL2C6X13R,,
4-Year Federal Graduation Rate Without Exclusions (Gr 9-12),,,,,,,,,,,,,,,
Class of 2016,SAGC416R,RAGC416R,DAGC416R,DBGC416R,DHGC416R,DWGC416R,DIGC416R,D3GC416R,D4GC416R,D2GC416R,DSGC416R,DEGC416R,DLGC416R,,
Class of 2015,SAGC415R,RAGC415R,DAGC415R,DBGC415R,DHGC415R,DWGC415R,DIGC415R,D3GC415R,D4GC415R,D2GC415R,DSGC415R,DEGC415R,DLGC415R,,
5-Year Extended Federal Graduation Rate Without Exclusions (Gr 9-12),,,,,,,,,,,,,,,
Class of 2015,SAGC515R,RAGC515R,DAGC515R,DBGC515R,DHGC515R,DWGC515R,DIGC515R,D3GC515R,D4GC515R,D2GC515R,DSGC515R,DEGC515R,DLGC515R,,
Class of 2014,SAGC514R,RAGC514R,DAGC514R,DBGC514R,DHGC514R,DWGC514R,DIGC514R,D3GC514R,D4GC514R,D2GC514R,DSGC514R,DEGC514R,DLGC514R,,
6-Year Extended Federal Graduation Rate Without Exclusions (Gr 9-12),,,,,,,,,,,,,,,
Class of 2014,SAGC614R,RAGC614R,DAGC614R,DBGC614R,DHGC614R,DWGC614R,DIGC614R,D3GC614R,D4GC614R,D2GC614R,DSGC614R,DEGC614R,DLGC614R,,
Class of 2013,SAGC613R,RAGC613R,DAGC613R,DBGC613R,DHGC613R,DWGC613R,DIGC613R,D3GC613R,D4GC613R,D2GC613R,DSGC613R,DEGC613R,DLGC613R,,
RHSP/DAP Graduates (Longitudinal Rate),,,,,,,,,,,,,,,
Class of 2016,SARC416R,RARC416R,DARC4X16R,DBRC4X16R,DHRC4X16R,DWRC4X16R,DIRC4X16R,D3RC4X16R,D4RC4X16R,D2RC4X16R,DSRC4X16R,DERC4X16R,DLRC4X16R,,
Class of 2015,SARC415R,RARC415R,DARC4X15R,DBRC4X15R,DHRC4X15R,DWRC4X15R,DIRC4X15R,D3RC4X15R,D4RC4X15R,D2RC4X15R,DSRC4X15R,DERC4X15R,DLRC4X15R,,
FHSP-E Graduates (Longitudinal Rate),,,,,,,,,,,,,,,
Class of 2016,SAPC416R,RAPC416R,DAPC4X16R,DBPC4X16R,DHPC4X16R,DWPC4X16R,DIPC4X16R,D3PC4X16R,D4PC4X16R,D2PC4X16R,DSPC4X16R,DEPC4X16R,DLPC4X16R,,
Class of 2015,SAPC415R,RAPC415R,DAPC4X15R,DBPC4X15R,DHPC4X15R,DWPC4X15R,DIPC4X15R,D3PC4X15R,D4PC4X15R,D2PC4X15R,DSPC4X15R,DEPC4X15R,DLPC4X15R,,
FHSP-DLA Graduates (Longitudinal Rate),,,,,,,,,,,,,,,
Class of 2016,SAAC416R,RAAC416R,DAAC4X16R,DBAC4X16R,DHAC4X16R,DWAC4X16R,DIAC4X16R,D3AC4X16R,D4AC4X16R,D2AC4X16R,DSAC4X16R,DEAC4X16R,DLAC4X16R,,
Class of 2015,SAAC415R,RAAC415R,DAAC4X15R,DBAC4X15R,DHAC4X15R,DWAC4X15R,DIAC4X15R,D3AC4X15R,D4AC4X15R,D2AC4X15R,DSAC4X15R,DEAC4X15R,DLAC4X15R,,
RHSP/DAP/FHSP-E/FHSP-DLA Graduates (Longitudinal Rate),,,,,,,,,,,,,,,
Class of 2016,SASC416R,RASC416R,DASC4X16R,DBSC4X16R,DHSC4X16R,DWSC4X16R,DISC4X16R,D3SC4X16R,D4SC4X16R,D2SC4X16R,DSSC4X16R,DESC4X16R,DLSC4X16R,,
Class of 2015,SASC415R,RASC415R,DASC4X15R,DBSC4X15R,DHSC4X15R,DWSC4X15R,DISC4X15R,D3SC4X15R,D4SC4X15R,D2SC4X15R,DSSC4X15R,DESC4X15R,DLSC4X15R,,
RHSP/DAP Graduates (Annual Rate),,,,,,,,,,,,,,,
2015-16,SA0GH16R,RA0GH16R,DA0GH16R,DB0GH16R,DH0GH16R,DW0GH16R,DI0GH16R,D30GH16R,D40GH16R,D20GH16R,DS0GH16R,DE0GH16R,DL0GH16R,,
2014-15,SA0GH15R,RA0GH15R,DA0GH15R,DB0GH15R,DH0GH15R,DW0GH15R,DI0GH15R,D30GH15R,D40GH15R,D20GH15R,DS0GH15R,DE0GH15R,DL0GH15R,,
,,,,,,,,,,,,,,,
,State,Region ##,District,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed,Econ Disadv,ELL,,
FHSP-E Graduates (Annual Rate),,,,,,,,,,,,,,,
2015-16 2014-15,SA0GE16R SA0GE15R,RA0GE16R RA0GE15R,DA0GE16R DA0GE15R,DB0GE16R DB0GE15R,DH0GE16R DH0GE15R,DW0GE16R DW0GE15R,DI0GE16R DI0GE15R,D30GE16R D30GE15R,D40GE16R D40GE15R,D20GE16R D20GE15R,DS0GE16R DS0GE15R,DE0GE16R DE0GE15R,DL0GE16R DL0GE15R,,
FHSP-DLA Graduates (Annual Rate),,,,,,,,,,,,,,,
2015-16,SA0GA16R,RA0GA16R,DA0GA16R,DB0GA16R,DH0GA16R,DW0GA16R,DI0GA16R,D30GA16R,D40GA16R,D20GA16R,DS0GA16R,DE0GA16R,DL0GA16R,,
2014-15,SA0GA15R,RA0GA15R,DA0GA15R,DB0GA15R,DH0GA15R,DW0GA15R,DI0GA15R,D30GA15R,D40GA15R,D20GA15R,DS0GA15R,DE0GA15R,DL0GA15R,,
RHSP/DAP/FHSP-E/FHSP-DLA Graduates (Annual Rate),,,,,,,,,,,,,,,
2015-16,SA0GS16R,RA0GS16R,DA0GS16R,DB0GS16R,DH0GS16R,DW0GS16R,DI0GS16R,D30GS16R,D40GS16R,D20GS16R,DS0GS16R,DE0GS16R,DL0GS16R,,
2014-15,SA0GS15R,RA0GS15R,DA0GS15R,DB0GS15R,DH0GS15R,DW0GS15R,DI0GS15R,D30GS15R,D40GS15R,D20GS15R,DS0GS15R,DE0GS15R,DL0GS15R,,
Advanced Course/Dual-Credit Course Completion (Grades 11-12),,,,,,,,,,,,,,,
Any Subject,,,,,,,,,,,,,,,
2015-16,SA0AD16R,RA0AD16R,DA0AD16R,DB0AD16R,DH0AD16R,DW0AD16R,DI0AD16R,D30AD16R,D40AD16R,D20AD16R,DS0AD16R,DE0AD16R,DL0AD16R,,
2014-15,SA0AD15R,RA0AD15R,DA0AD15R,DB0AD15R,DH0AD15R,DW0AD15R,DI0AD15R,D30AD15R,D40AD15R,D20AD15R,DS0AD15R,DE0AD15R,DL0AD15R,,
English Language Arts 2015-16 2014-15,SA0ADE16R SA0ADE15R,RA0ADE16R RA0ADE15R,DA0ADE16R DA0ADE15R,DB0ADE16R DB0ADE15R,DH0ADE16R DH0ADE15R,DW0ADE16R DW0ADE15R,DI0ADE16R DI0ADE15R,D30ADE16R D30ADE15R,D40ADE16R D40ADE15R,D20ADE16R D20ADE15R,DS0ADE16R DS0ADE15R,DE0ADE16R DE0ADE15R,DL0ADE16R DL0ADE15R,,
Mathematics,,,,,,,,,,,,,,,
2015-16,SA0ADM16R,RA0ADM16R,DA0ADM16R,DB0ADM16R,DH0ADM16R,DW0ADM16R,DI0ADM16R,D30ADM16R,D40ADM16R,D20ADM16R,DS0ADM16R,DE0ADM16R,DL0ADM16R,,
2014-15,SA0ADM15R,RA0ADM15R,DA0ADM15R,DB0ADM15R,DH0ADM15R,DW0ADM15R,DI0ADM15R,D30ADM15R,D40ADM15R,D20ADM15R,DS0ADM15R,DE0ADM15R,DL0ADM15R,,
Science,,,,,,,,,,,,,,,
2015-16 2014-15,SA0ADC16R SA0ADC15R,RA0ADC16R RA0ADC15R,DA0ADC16R DA0ADC15R,DB0ADC16R DB0ADC15R,DH0ADC16R DH0ADC15R,DW0ADC16R DW0ADC15R,DI0ADC16R DI0ADC15R,D30ADC16R D30ADC15R,D40ADC16R D40ADC15R,D20ADC16R D20ADC15R,DS0ADC16R DS0ADC15R,DE0ADC16R DE0ADC15R,DL0ADC16R DL0ADC15R,,
Social Studies 2015-16,SA0ADS16R,RA0ADS16R,DA0ADS16R,DB0ADS16R,DH0ADS16R,DW0ADS16R,DI0ADS16R,D30ADS16R,D40ADS16R,D20ADS16R,DS0ADS16R,DE0ADS16R,DL0ADS16R,,
2014-15,SA0ADS15R,RA0ADS15R,DA0ADS15R,DB0ADS15R,DH0ADS15R,DW0ADS15R,DI0ADS15R,D30ADS15R,D40ADS15R,D20ADS15R,DS0ADS15R,DE0ADS15R,DL0ADS15R,,
Advanced Course/Dual-Credit Course Completion (Grades 9-12),,,,,,,,,,,,,,,
Any Subject,,,,,,,,,,,,,,,
2015-16,SA9AD16R,RA9AD16R,DA9AD16R,DB9AD16R,DH9AD16R,DW9AD16R,DI9AD16R,D39AD16R,D49AD16R,D29AD16R,DS9AD16R,DE9AD16R,DL9AD16R,,
2014-15,SA9AD15R,RA9AD15R,DA9AD15R,DB9AD15R,DH9AD15R,DW9AD15R,DI9AD15R,D39AD15R,D49AD15R,D29AD15R,DS9AD15R,DE9AD15R,DL9AD15R,,
English Language Arts 2015-16,SA9ADE16R,RA9ADE16R,DA9ADE16R,DB9ADE16R,DH9ADE16R,DW9ADE16R,DI9ADE16R,D39ADE16R,D49ADE16R,D29ADE16R,DS9ADE16R,DE9ADE16R,DL9ADE16R,,
