DISTRICT,DD000A00200019R,DD000AA1200019R,DD000AE2200019R,DD000AM0200019R,DD000AR0200019R,DD004AM0200019R,DD004AR0200019R,DD005AM0200019R,DD005AR0200019R,DD006AM0200019R,DD006AR0200019R,DD007AM0200019R,DD007AR0200019R,DD008AM0200019R,DD008AR0200019R,DD200A00200019R,DD200AA1200019R,DD200AE2200019R,DD200AM0200019R,DD200AR0200019R,DD204AM0200019R,DD204AR0200019R,DD205AM0200019R,DD205AR0200019R,DD206AM0200019R,DD206AR0200019R,DD207AM0200019R,DD207AR0200019R,DD208AM0200019R,DD208AR0200019R,DD300A00200019R,DD300AA1200019R,DD300AE2200019R,DD300AM0200019R,DD300AR0200019R,DD304AM0200019R,DD304AR0200019R,DD305AM0200019R,DD305AR0200019R,DD306AM0200019R,DD306AR0200019R,DD307AM0200019R,DD307AR0200019R,DD308AM0200019R,DD308AR0200019R,DD400A00200019R,DD400AA1200019R,DD400AE2200019R,DD400AM0200019R,DD400AR0200019R,DD404AM0200019R,DD404AR0200019R,DD405AM0200019R,DD405AR0200019R,DD406AM0200019R,DD406AR0200019R,DD407AM0200019R,DD407AR0200019R,DD408AM0200019R,DD408AR0200019R,DDA00A00200019R,DDA00AA1200019R,DDA00AE2200019R,DDA00AM0200019R,DDA00AR0200019R,DDA04AM0200019R,DDA04AR0200019R,DDA05AM0200019R,DDA05AR0200019R,DDA06AM0200019R,DDA06AR0200019R,DDA07AM0200019R,DDA07AR0200019R,DDA08AM0200019R,DDA08AR0200019R,DDB00A00200019R,DDB00AA1200019R,DDB00AE2200019R,DDB00AM0200019R,DDB00AR0200019R,DDB04AM0200019R,DDB04AR0200019R,DDB05AM0200019R,DDB05AR0200019R,DDB06AM0200019R,DDB06AR0200019R,DDB07AM0200019R,DDB07AR0200019R,DDB08AM0200019R,DDB08AR0200019R,DDE00A00200019R,DDE00AA1200019R,DDE00AE2200019R,DDE00AM0200019R,DDE00AR0200019R,DDE04AM0200019R,DDE04AR0200019R,DDE05AM0200019R,DDE05AR0200019R,DDE06AM0200019R,DDE06AR0200019R,DDE07AM0200019R,DDE07AR0200019R,DDE08AM0200019R,DDE08AR0200019R,DDF00A00200019R,DDF00AA1200019R,DDF00AE2200019R,DDF00AM0200019R,DDF00AR0200019R,DDF04AM0200019R,DDF04AR0200019R,DDF05AM0200019R,DDF05AR0200019R,DDF06AM0200019R,DDF06AR0200019R,DDF07AM0200019R,DDF07AR0200019R,DDF08AM0200019R,DDF08AR0200019R,DDH00A00200019R,DDH00AA1200019R,DDH00AE2200019R,DDH00AM0200019R,DDH00AR0200019R,DDH04AM0200019R,DDH04AR0200019R,DDH05AM0200019R,DDH05AR0200019R,DDH06AM0200019R,DDH06AR0200019R,DDH07AM0200019R,DDH07AR0200019R,DDH08AM0200019R,DDH08AR0200019R,DDI00A00200019R,DDI00AA1200019R,DDI00AE2200019R,DDI00AM0200019R,DDI00AR0200019R,DDI04AM0200019R,DDI04AR0200019R,DDI05AM0200019R,DDI05AR0200019R,DDI06AM0200019R,DDI06AR0200019R,DDI07AM0200019R,DDI07AR0200019R,DDI08AM0200019R,DDI08AR0200019R,DDM00A00200019R,DDM00AA1200019R,DDM00AE2200019R,DDM00AM0200019R,DDM00AR0200019R,DDM04AM0200019R,DDM04AR0200019R,DDM05AM0200019R,DDM05AR0200019R,DDM06AM0200019R,DDM06AR0200019R,DDM07AM0200019R,DDM07AR0200019R,DDM08AM0200019R,DDM08AR0200019R,DDR00A00200019R,DDR00AA1200019R,DDR00AE2200019R,DDR00AM0200019R,DDR00AR0200019R,DDR04AM0200019R,DDR04AR0200019R,DDR05AM0200019R,DDR05AR0200019R,DDR06AM0200019R,DDR06AR0200019R,DDR07AM0200019R,DDR07AR0200019R,DDR08AM0200019R,DDR08AR0200019R,DDS00A00200019R,DDS00AA1200019R,DDS00AE2200019R,DDS00AM0200019R,DDS00AR0200019R,DDS04AM0200019R,DDS04AR0200019R,DDS05AM0200019R,DDS05AR0200019R,DDS06AM0200019R,DDS06AR0200019R,DDS07AM0200019R,DDS07AR0200019R,DDS08AM0200019R,DDS08AR0200019R,DDW00A00200019R,DDW00AA1200019R,DDW00AE2200019R,DDW00AM0200019R,DDW00AR0200019R,DDW04AM0200019R,DDW04AR0200019R,DDW05AM0200019R,DDW05AR0200019R,DDW06AM0200019R,DDW06AR0200019R,DDW07AM0200019R,DDW07AR0200019R,DDW08AM0200019R,DDW08AR0200019R,DISTNAME,DNC00A00200019R,DNC00AA1200019R,DNC00AE2200019R,DNC00AM0200019R,DNC00AR0200019R,DNC04AM0200019R,DNC04AR0200019R,DNC05AM0200019R,DNC05AR0200019R,DNC06AM0200019R,DNC06AR0200019R,DNC07AM0200019R,DNC07AR0200019R,DNC08AM0200019R,DNC08AR0200019R,DNM00A00200019R,DNM00AA1200019R,DNM00AE2200019R,DNM00AM0200019R,DNM00AR0200019R,DNM04AM0200019R,DNM04AR0200019R,DNM05AM0200019R,DNM05AR0200019R,DNM06AM0200019R,DNM06AR0200019R,DNM07AM0200019R,DNM07AR0200019R,DNM08AM0200019R,DNM08AR0200019R,DNS00A00200019R,DNS00AA1200019R,DNS00AE2200019R,DNS00AM0200019R,DNS00AR0200019R,DNS04AM0200019R,DNS04AR0200019R,DNS05AM0200019R,DNS05AR0200019R,DNS06AM0200019R,DNS06AR0200019R,DNS07AM0200019R,DNS07AR0200019R,DNS08AM0200019R,DNS08AR0200019R
"'001902",-1,.,.,-1,-1,.,.,.,.,.,.,-1,-1,.,.,76,100,-1,77,75,-1,-1,-1,-1,-1,-1,.,.,-1,-1,-1,.,.,-1,-1,-1,-1,.,.,.,.,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,72,80,79,72,73,62,79,95,67,36,38,66,76,86,91,56,-1,-1,-1,-1,-1,-1,-1,-1,.,.,-1,-1,.,.,70,72,90,70,71,58,78,95,74,36,27,63,60,75,95,76,98,72,81,70,63,71,96,61,71,38,75,83,81,89,62,-1,-1,59,66,-1,-1,.,.,-1,-1,60,60,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,70,66,84,65,75,62,88,93,74,17,38,58,70,90,93,71,67,82,69,73,65,92,93,74,29,25,56,59,80,97,64,46,90,49,83,42,100,75,100,-1,-1,17,50,-1,-1,73,76,76,73,73,64,76,94,68,39,43,69,81,86,92,"CAYUGA ISD",73,83,85,71,75,67,79,96,74,26,38,67,78,84,88,72,73,60,76,68,50,79,93,61,69,38,64,73,90,100,73,-1,.,83,60,-1,-1,-1,-1,.,.,-1,-1,-1,-1
"'001903",88,-1,-1,100,75,-1,-1,-1,-1,-1,-1,.,.,-1,-1,70,-1,88,74,67,-1,-1,-1,-1,42,33,-1,-1,-1,-1,-1,-1,.,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,75,88,68,78,73,79,79,92,84,46,50,74,76,88,79,64,58,50,63,65,-1,-1,-1,-1,-1,-1,60,90,83,67,71,79,64,72,71,75,79,91,79,37,47,73,75,83,80,77,90,71,79,74,79,76,88,77,44,65,79,73,93,83,80,86,75,84,75,89,89,100,63,68,59,71,71,91,88,-1,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,74,87,66,77,72,78,82,95,90,48,39,68,79,84,76,71,75,55,74,68,85,83,83,79,47,35,74,74,82,78,64,25,50,63,66,89,83,100,88,33,33,43,79,80,80,76,94,66,78,73,78,76,90,88,42,52,75,77,87,78,"ELKHART ISD",75,89,68,78,72,76,78,92,81,41,42,78,80,91,79,75,83,66,76,75,85,80,90,93,57,67,65,67,81,80,77,-1,-1,80,74,-1,-1,80,90,-1,-1,-1,-1,92,100
"'001904",83,.,.,83,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64,.,-1,57,71,11,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,67,85,65,69,64,44,51,83,88,74,30,53,74,90,77,63,-1,100,59,67,42,92,70,80,-1,-1,19,69,88,50,66,83,68,66,66,31,49,93,95,74,38,45,75,90,79,68,86,65,69,67,26,53,84,96,87,35,57,76,95,73,79,-1,-1,83,76,-1,-1,100,86,80,50,70,80,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,65,84,66,69,62,63,49,81,76,59,24,48,71,86,80,61,68,47,58,63,36,51,75,83,50,17,44,81,88,79,52,-1,-1,50,53,13,38,42,67,45,10,43,71,79,77,66,86,62,70,62,47,44,79,88,73,26,55,73,90,77,"FRANKSTON ISD",67,86,62,71,63,50,52,87,87,76,26,49,72,93,75,66,82,72,63,69,32,48,71,93,65,45,68,82,79,85,65,-1,-1,80,50,.,.,.,.,-1,-1,.,.,-1,-1
"'001906",61,-1,.,60,-1,-1,-1,.,.,-1,-1,-1,-1,.,.,64,.,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,72,86,86,81,62,66,32,93,89,91,33,83,83,71,60,78,-1,-1,83,72,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65,78,100,75,55,63,38,100,86,91,23,82,68,58,58,74,88,95,81,67,50,20,89,86,89,50,86,82,78,63,71,-1,-1,76,67,79,57,-1,-1,60,20,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,69,83,75,81,57,77,40,100,94,92,15,80,85,62,58,77,64,-1,79,75,83,75,93,86,-1,-1,86,100,78,67,55,-1,-1,50,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,71,92,82,83,60,59,22,92,86,98,35,82,88,75,52,"NECHES ISD",72,84,84,81,63,68,37,96,86,94,34,84,84,66,59,71,92,-1,83,59,58,17,89,94,86,32,80,80,86,64,-1,.,.,-1,-1,.,.,.,.,.,.,.,.,-1,-1
"'001907",73,72,45,78,67,70,65,88,75,78,44,61,77,93,82,71,77,43,76,65,75,83,91,77,79,43,50,63,100,80,70,.,-1,67,72,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,70,77,70,74,67,63,55,77,72,74,48,60,75,92,80,67,66,80,68,67,53,44,72,84,71,52,62,69,89,83,69,73,66,72,65,60,54,77,73,72,47,60,75,92,79,72,83,73,75,70,61,55,74,77,78,57,59,77,92,78,74,82,63,78,69,68,60,82,78,79,49,59,79,93,84,-1,.,.,-1,-1,.,.,.,.,.,.,-1,-1,.,.,69,72,68,73,65,64,56,80,68,70,41,60,73,92,82,67,70,64,70,63,56,54,82,71,68,41,53,72,92,79,61,50,67,61,61,46,58,82,68,47,36,48,68,95,74,69,80,75,73,64,66,61,71,56,69,45,60,77,93,71,"PALESTINE ISD",71,79,67,75,67,64,57,77,73,74,49,63,72,92,81,70,71,79,71,68,60,50,77,71,75,47,50,84,93,79,74,-1,-1,74,74,-1,-1,-1,-1,-1,-1,40,70,-1,-1
"'001908",62,58,92,65,59,56,33,85,65,36,7,61,73,78,71,54,-1,-1,53,55,-1,-1,-1,-1,36,43,36,57,100,90,100,-1,-1,-1,-1,.,.,-1,-1,.,.,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,65,70,66,67,64,75,47,78,80,41,40,55,73,80,70,65,57,69,65,64,75,30,83,91,38,46,50,67,76,75,64,66,66,67,61,72,40,77,79,48,36,56,68,82,70,67,72,69,68,65,78,48,76,82,40,45,47,72,89,70,66,80,60,72,60,70,33,85,68,47,37,63,76,81,68,25,-1,.,-1,-1,.,.,.,.,-1,-1,-1,-1,.,.,64,68,64,66,63,73,46,81,77,42,34,59,74,72,70,63,56,64,65,62,71,36,77,79,39,36,59,72,80,72,56,29,59,58,54,70,33,77,73,25,38,67,68,64,50,67,70,69,67,66,78,58,75,83,41,40,56,76,79,66,"WESTWOOD ISD",67,75,69,68,66,74,49,80,83,35,41,56,76,82,71,61,50,55,64,57,78,40,74,72,61,39,50,65,68,68,80,-1,.,68,92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'001909",-1,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,82,.,-1,92,75,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,70,36,64,69,72,29,63,100,89,85,53,73,79,85,92,61,.,-1,-1,50,-1,-1,-1,-1,.,.,-1,-1,-1,-1,72,43,59,70,74,27,50,100,95,83,67,94,89,82,91,75,56,58,72,77,22,69,100,90,75,68,88,88,88,88,76,-1,-1,83,68,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,66,28,69,65,67,44,50,100,88,93,43,58,71,81,96,75,-1,60,82,69,42,25,100,93,88,50,82,71,93,93,64,-1,69,66,63,-1,-1,-1,-1,80,40,-1,-1,-1,-1,70,33,67,67,73,32,66,100,92,86,48,68,84,83,93,"SLOCUM ISD",69,37,71,65,73,30,63,100,90,83,56,75,83,72,94,74,35,50,78,70,-1,-1,100,88,93,43,-1,-1,100,89,83,.,-1,-1,80,.,.,.,.,-1,-1,-1,-1,.,.
"'002901",59,76,53,61,57,37,31,67,86,43,26,64,69,89,81,71,50,58,69,73,-1,-1,79,100,75,63,70,80,58,67,94,.,-1,-1,90,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,66,80,60,70,63,62,52,72,83,51,29,71,78,88,80,61,-1,-1,69,53,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,62,70,57,65,59,63,44,65,78,49,28,63,76,89,79,66,82,61,70,63,64,51,71,82,49,29,73,81,87,79,65,78,61,68,61,59,50,73,79,46,25,68,75,89,81,74,-1,.,63,89,-1,-1,-1,-1,.,.,-1,-1,-1,-1,66,78,59,70,62,60,52,73,83,54,29,68,76,89,81,62,68,60,65,60,53,42,68,82,41,21,65,71,92,82,60,56,63,61,58,63,59,67,65,51,24,52,65,81,77,69,85,57,73,65,65,54,72,89,58,34,75,84,89,78,"ANDREWS ISD",67,79,62,70,63,62,53,72,82,51,32,71,79,88,78,65,81,49,69,60,61,48,73,85,52,17,68,75,86,90,60,-1,-1,71,47,-1,-1,-1,-1,50,0,-1,-1,90,60
"'003801",64,-1,-1,65,63,83,78,50,100,50,23,-1,-1,100,70,63,.,-1,75,53,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,72,93,74,75,70,79,57,84,85,54,38,58,82,80,87,73,88,83,71,75,62,50,82,85,55,32,46,90,88,100,70,97,79,74,67,70,48,85,83,56,33,66,80,82,88,74,97,77,74,74,77,58,83,90,56,45,55,81,77,90,70,93,70,75,65,85,63,88,90,50,21,65,78,86,79,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,71,88,71,75,66,80,56,84,79,53,30,63,84,83,84,73,80,71,73,73,75,59,79,86,53,30,52,75,88,90,66,-1,-1,67,66,100,71,71,79,61,22,38,69,73,86,74,95,75,75,72,80,56,83,80,55,51,60,85,74,89,"PINEYWOODS COMMUNITY ACADEMY",72,93,75,74,70,79,57,81,85,54,38,52,82,85,88,72,96,68,75,69,78,58,90,84,55,39,73,84,63,84,76,.,-1,88,67,-1,-1,-1,-1,-1,-1,.,.,-1,-1
"'003902",67,84,43,69,65,55,58,94,76,52,44,52,72,73,77,74,94,83,83,63,69,25,-1,-1,-1,-1,-1,-1,-1,-1,88,-1,-1,94,81,-1,-1,-1,-1,-1,-1,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,74,82,69,76,71,62,65,98,77,59,53,76,85,89,80,65,63,67,63,66,40,60,100,70,34,50,65,77,89,83,70,80,67,72,68,60,60,98,79,44,48,69,79,84,76,75,85,68,78,72,62,67,98,77,63,58,76,83,93,79,72,92,67,74,71,63,66,97,81,50,52,70,81,83,75,63,-1,-1,72,55,80,50,-1,-1,-1,-1,.,.,.,.,73,80,71,74,71,62,63,98,78,55,49,76,87,85,81,68,70,65,69,67,63,56,98,81,43,41,65,82,83,79,64,65,46,64,65,73,50,92,92,52,58,50,80,63,70,75,80,69,78,72,63,67,98,77,67,54,79,88,92,82,"HUDSON ISD",73,82,68,76,71,61,63,97,78,58,52,76,86,88,79,75,85,75,78,73,65,69,100,75,62,57,75,82,91,82,69,-1,.,74,63,58,75,-1,-1,60,40,-1,-1,-1,-1
