DISTRICT,D20GR21N,D20GR21R,D30GR21N,D30GR21R,D40GR21N,D40GR21R,DA0GA21N,DA0GA21P,DA0GE21N,DA0GE21P,DA0GH21N,DA0GH21P,DA0GM21N,DA0GM21P,DA0GN21N,DA0GN21P,DA0GR21N,DA0GR21R,DB0GR21N,DB0GR21R,DE0GR21N,DE0GR21R,DH0GR21N,DH0GR21R,DI0GR21N,DI0GR21R,DISTNAME,DL0GR21N,DL0GR21R,DR0GR21N,DR0GR21R,DS0GR21N,DS0GR21R,DW0GR21N,DW0GR21R
"'001902",0,0,0,0,0,0,34,94.4,0,0,0,0,0,0,2,5.6,36,100,2,5.6,9,25,3,8.3,0,0,"CAYUGA ISD",0,0,9,25,2,5.6,31,86.1
"'001903",6,6.6,0,0,1,1.1,79,86.8,0,0,0,0,0,0,12,13.2,91,100,5,5.5,47,51.6,10,11,0,0,"ELKHART ISD",0,0,26,28.6,9,9.9,69,75.8
"'001904",1,2.4,1,2.4,0,0,40,97.6,0,0,0,0,0,0,1,2.4,41,100,3,7.3,17,41.5,3,7.3,0,0,"FRANKSTON ISD",0,0,6,14.6,2,4.9,33,80.5
"'001906",3,13,0,0,0,0,17,73.9,0,0,0,0,0,0,6,26.1,23,100,1,4.3,7,30.4,2,8.7,0,0,"NECHES ISD",0,0,3,13,3,13,17,73.9
"'001907",7,3.5,3,1.5,0,0,184,91.5,14,7,0,0,0,0,3,1.5,201,100,49,24.4,140,69.7,90,44.8,0,0,"PALESTINE ISD",21,10.4,110,54.7,17,8.5,52,25.9
"'001908",1,1.1,1,1.1,0,0,77,81.1,0,0,0,0,0,0,18,18.9,95,100,22,23.2,45,47.4,16,16.8,0,0,"WESTWOOD ISD",6,6.3,51,53.7,9,9.5,55,57.9
"'001909",2,6.3,0,0,0,0,27,84.4,0,0,0,0,0,0,5,15.6,32,100,1,3.1,11,34.4,4,12.5,0,0,"SLOCUM ISD",0,0,8,25,7,21.9,25,78.1
"'002901",6,2,1,0.3,0,0,235,80.2,3,1,0,0,0,0,55,18.8,293,100,1,0.3,108,36.9,206,70.3,1,0.3,"ANDREWS ISD",28,9.6,138,47.1,32,10.9,78,26.6
"'003801",3,5.8,0,0,0,0,52,100,0,0,0,0,0,0,0,0,52,100,7,13.5,19,36.5,10,19.2,0,0,"PINEYWOODS COMMUNITY ACADEMY",1,1.9,14,26.9,0,0,32,61.5
"'003902",3,1.5,3,1.5,0,0,141,71.9,13,6.6,0,0,0,0,42,21.4,196,100,15,7.7,85,43.4,36,18.4,1,0.5,"HUDSON ISD",2,1,76,38.8,16,8.2,138,70.4
"'003903",10,2,10,2,0,0,459,92.7,4,0.8,0,0,0,0,32,6.5,495,100,111,22.4,373,75.4,233,47.1,2,0.4,"LUFKIN ISD",45,9.1,305,61.6,55,11.1,129,26.1
"'003904",5,4.8,0,0,0,0,77,74,3,2.9,0,0,0,0,24,23.1,104,100,3,2.9,45,43.3,6,5.8,1,1,"HUNTINGTON ISD",0,0,23,22.1,13,12.5,89,85.6
"'003905",4,3.7,0,0,0,0,91,83.5,4,3.7,0,0,0,0,14,12.8,109,100,11,10.1,104,95.4,58,53.2,0,0,"DIBOLL ISD",6,5.5,56,51.4,10,9.2,36,33
"'003906",1,4.2,0,0,0,0,12,50,3,12.5,0,0,0,0,9,37.5,24,100,0,0,9,37.5,4,16.7,0,0,"ZAVALLA ISD",0,0,11,45.8,7,29.2,19,79.2
"'003907",2,2.3,0,0,0,0,57,64.8,7,8,0,0,0,0,24,27.3,88,100,3,3.4,49,55.7,24,27.3,1,1.1,"CENTRAL ISD",3,3.4,27,30.7,10,11.4,58,65.9
"'004901",3,1.7,7,4,0,0,111,62.7,0,0,0,0,0,0,66,37.3,177,100,4,2.3,97,54.8,73,41.2,0,0,"ARANSAS COUNTY ISD",7,4,95,53.7,16,9,90,50.8
"'005901",1,3.6,0,0,0,0,25,89.3,3,10.7,0,0,0,0,0,0,28,100,0,0,7,25,3,10.7,0,0,"ARCHER CITY ISD",0,0,12,42.9,5,17.9,24,85.7
"'005902",1,1.4,0,0,0,0,67,93.1,0,0,0,0,0,0,5,6.9,72,100,0,0,9,12.5,8,11.1,2,2.8,"HOLLIDAY ISD",0,0,20,27.8,5,6.9,61,84.7
"'005904",0,0,0,0,0,0,25,86.2,1,3.4,0,0,0,0,3,10.3,29,100,0,0,8,27.6,9,31,0,0,"WINDTHORST ISD",2,6.9,9,31,3,10.3,20,69
"'006902",1,4.2,0,0,0,0,22,91.7,0,0,0,0,0,0,2,8.3,24,100,1,4.2,13,54.2,3,12.5,0,0,"CLAUDE ISD",0,0,10,41.7,0,0,19,79.2
"'007901",0,0,0,0,0,0,3,75,1,25,0,0,0,0,0,0,4,100,0,0,2,50,4,100,0,0,"CHARLOTTE ISD",1,25,4,100,3,75,0,0
"'007902",0,0,0,0,0,0,72,73.5,2,2,0,0,0,0,24,24.5,98,100,2,2,41,41.8,62,63.3,1,1,"JOURDANTON ISD",2,2,34,34.7,10,10.2,33,33.7
"'007904",0,0,0,0,0,0,71,82.6,0,0,0,0,0,0,15,17.4,86,100,1,1.2,52,60.5,73,84.9,0,0,"LYTLE ISD",8,9.3,31,36,4,4.7,12,14
"'007905",0,0,1,0.4,0,0,228,96.2,1,0.4,0,0,0,0,8,3.4,237,100,0,0,146,61.6,162,68.4,0,0,"PLEASANTON ISD",4,1.7,127,53.6,32,13.5,74,31.2
"'007906",0,0,0,0,0,0,90,89.1,0,0,0,0,0,0,11,10.9,101,100,1,1,41,40.6,85,84.2,0,0,"POTEET ISD",2,2,64,63.4,14,13.9,15,14.9
"'008901",4,2.2,1,0.6,1,0.6,154,86,16,8.9,0,0,0,0,9,5,179,100,11,6.1,66,36.9,57,31.8,0,0,"BELLVILLE ISD",6,3.4,50,27.9,9,5,105,58.7
"'008902",5,2.3,1,0.5,0,0,162,73.6,2,0.9,1,0.5,0,0,55,25,220,100,24,10.9,117,53.2,103,46.8,0,0,"SEALY ISD",24,10.9,63,28.6,13,5.9,87,39.5
"'008903",0,0,0,0,0,0,46,92,4,8,0,0,0,0,0,0,50,100,5,10,29,58,24,48,0,0,"BRAZOS ISD",3,6,10,20,2,4,21,42
"'009901",0,0,1,1.3,0,0,68,89.5,0,0,0,0,0,0,8,10.5,76,100,0,0,60,78.9,66,86.8,0,0,"MULESHOE ISD",4,5.3,14,18.4,16,21.1,9,11.8
"'010901",0,0,0,0,0,0,21,87.5,0,0,0,0,0,0,3,12.5,24,100,0,0,14,58.3,7,29.2,0,0,"MEDINA ISD",0,0,8,33.3,3,12.5,17,70.8
"'010902",4,3.1,0,0,0,0,92,70.2,9,6.9,0,0,0,0,30,22.9,131,100,0,0,51,38.9,42,32.1,0,0,"BANDERA ISD",0,0,72,55,15,11.5,85,64.9
"'011901",15,1.8,6,0.7,1,0.1,555,68,27,3.3,0,0,0,0,234,28.7,816,100,29,3.6,512,62.7,550,67.4,2,0.2,"BASTROP ISD",124,15.2,486,59.6,64,7.8,213,26.1
"'011902",6,2.1,3,1,0,0,275,95.8,5,1.7,0,0,0,0,7,2.4,287,100,35,12.2,199,69.3,192,66.9,0,0,"ELGIN ISD",38,13.2,199,69.3,25,8.7,51,17.8
"'011904",4,3.2,0,0,0,0,83,65.9,1,0.8,0,0,0,0,42,33.3,126,100,14,11.1,67,53.2,32,25.4,1,0.8,"SMITHVILLE ISD",3,2.4,19,15.1,16,12.7,75,59.5
"'011905",0,0,0,0,0,0,8,66.7,0,0,0,0,0,0,4,33.3,12,100,1,8.3,4,33.3,9,75,0,0,"MCDADE ISD",0,0,2,16.7,4,33.3,2,16.7
"'012901",1,2.4,0,0,0,0,38,92.7,0,0,0,0,0,0,3,7.3,41,100,0,0,16,39,7,17.1,0,0,"SEYMOUR ISD",1,2.4,19,46.3,4,9.8,33,80.5
"'013801",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"ST MARY'S ACADEMY CHARTER SCHOOL",.,.,.,.,.,.,.,.
"'013901",2,0.9,3,1.4,1,0.5,174,82.5,13,6.2,0,0,0,0,24,11.4,211,100,7,3.3,175,82.9,166,78.7,0,0,"BEEVILLE ISD",7,3.3,123,58.3,26,12.3,32,15.2
"'013902",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"PAWNEE ISD",.,.,.,.,.,.,.,.
"'013903",0,0,0,0,0,0,18,75,3,12.5,0,0,0,0,3,12.5,24,100,1,4.2,18,75,15,62.5,0,0,"PETTUS ISD",0,0,10,41.7,0,0,8,33.3
"'013905",0,0,1,1.8,0,0,52,94.5,1,1.8,0,0,0,0,2,3.6,55,100,0,0,25,45.5,39,70.9,0,0,"SKIDMORE-TYNAN ISD",0,0,18,32.7,8,14.5,15,27.3
"'014801",4,1.4,0,0,2,0.7,153,51.7,36,12.2,1,0.3,6,2,100,33.8,296,100,33,11.1,195,65.9,186,62.8,1,0.3,"RICHARD MILBURN ALTER HIGH SCHOOL - KILLEEN",17,5.7,244,82.4,41,13.9,70,23.6
"'014803",2,10,0,0,0,0,13,65,3,15,0,0,0,0,4,20,20,100,5,25,8,40,5,25,0,0,"PRIORITY CHARTER SCHOOLS",0,0,11,55,4,20,8,40
"'014804",7,8.1,2,2.3,0,0,84,97.7,1,1.2,0,0,0,0,1,1.2,86,100,3,3.5,5,5.8,23,26.7,0,0,"ORENDA CHARTER SCHOOL",1,1.2,22,25.6,4,4.7,51,59.3
"'014901",3,2.6,0,0,1,0.9,75,65.8,4,3.5,0,0,0,0,35,30.7,114,100,9,7.9,32,28.1,27,23.7,0,0,"ACADEMY ISD",3,2.6,25,21.9,16,14,74,64.9
"'014902",2,8.3,0,0,0,0,24,100,0,0,0,0,0,0,0,0,24,100,2,8.3,20,83.3,13,54.2,1,4.2,"BARTLETT ISD",1,4.2,8,33.3,4,16.7,6,25
"'014903",30,3.8,13,1.6,1,0.1,637,79.6,8,1,0,0,0,0,155,19.4,800,100,55,6.9,232,29,253,31.6,2,0.3,"BELTON ISD",30,3.8,254,31.8,85,10.6,446,55.8
"'014905",0,0,0,0,0,0,45,88.2,1,2,0,0,0,0,5,9.8,51,100,1,2,20,39.2,14,27.5,0,0,"HOLLAND ISD",0,0,5,9.8,5,9.8,36,70.6
"'014906",161,6.6,80,3.3,46,1.9,1610,66.2,222,9.1,0,0,1,0,598,24.6,2431,100,953,39.2,1184,48.7,731,30.1,12,0.5,"KILLEEN ISD",159,6.5,1435,59,276,11.4,448,18.4
"'014907",2,3.2,0,0,0,0,57,91.9,2,3.2,0,0,0,0,3,4.8,62,100,0,0,16,25.8,24,38.7,0,0,"ROGERS ISD",1,1.6,28,45.2,6,9.7,36,58.1
"'014908",6,3.7,1,0.6,0,0,145,90.1,0,0,0,0,0,0,16,9.9,161,100,1,0.6,25,15.5,33,20.5,1,0.6,"SALADO ISD",1,0.6,23,14.3,9,5.6,119,73.9
"'014909",20,3.8,10,1.9,2,0.4,364,68.3,0,0,0,0,0,0,169,31.7,533,100,145,27.2,294,55.2,240,45,2,0.4,"TEMPLE ISD",30,5.6,315,59.1,56,10.5,114,21.4
"'014910",1,0.9,2,1.8,0,0,89,81.7,0,0,0,0,0,0,20,18.3,109,100,2,1.8,36,33,38,34.9,0,0,"TROY ISD",0,0,40,36.7,13,11.9,66,60.6
"'015801",1,1.7,0,0,0,0,14,23.3,25,41.7,5,8.3,7,11.7,9,15,60,100,4,6.7,48,80,52,86.7,0,0,"POR VIDA ACADEMY",2,3.3,46,76.7,9,15,3,5
"'015802",2,7.1,0,0,0,0,0,0,28,100,0,0,0,0,0,0,28,100,15,53.6,28,100,10,35.7,0,0,"GEORGE GERVIN ACADEMY",0,0,23,82.1,4,14.3,1,3.6
"'015805",0,0,0,0,0,0,34,85,3,7.5,0,0,0,0,3,7.5,40,100,1,2.5,30,75,37,92.5,0,0,"NEW FRONTIERS PUBLIC SCHOOLS INC",3,7.5,19,47.5,2,5,2,5
"'015806",0,0,0,0,0,0,28,100,0,0,0,0,0,0,0,0,28,100,11,39.3,26,92.9,17,60.7,0,0,"LEGACY TRADITIONAL SCHOOLS - TEXAS",2,7.1,18,64.3,3,10.7,0,0
"'015807",8,10.5,1,1.3,2,2.6,61,80.3,4,5.3,0,0,0,0,11,14.5,76,100,6,7.9,53,69.7,54,71.1,0,0,"SOUTHWEST PREPARATORY SCHOOL",1,1.3,41,53.9,11,14.5,5,6.6
"'015808",0,0,0,0,0,0,36,83.7,0,0,0,0,0,0,7,16.3,43,100,2,4.7,13,30.2,24,55.8,0,0,"INSPIRE ACADEMIES",0,0,11,25.6,9,20.9,17,39.5
"'015809",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"BEXAR COUNTY ACADEMY",.,.,.,.,.,.,.,.
"'015814",0,0,0,0,0,0,0,0,6,30,0,0,0,0,14,70,20,100,1,5,15,75,19,95,0,0,"POSITIVE SOLUTIONS CHARTER SCHOOL",2,10,13,65,1,5,0,0
"'015815",0,0,0,0,0,0,35,87.5,1,2.5,0,0,0,0,4,10,40,100,0,0,15,37.5,39,97.5,1,2.5,"HERITAGE ACADEMY",21,52.5,33,82.5,2,5,0,0
"'015822",0,0,0,0,0,0,131,89.7,0,0,0,0,0,0,15,10.3,146,100,6,4.1,118,80.8,132,90.4,1,0.7,"JUBILEE ACADEMIES",28,19.2,99,67.8,15,10.3,7,4.8
