DISTRICT,D20GR20N,D20GR20R,D30GR20N,D30GR20R,D40GR20N,D40GR20R,DA0GA20N,DA0GA20P,DA0GE20N,DA0GE20P,DA0GH20N,DA0GH20P,DA0GM20N,DA0GM20P,DA0GN20N,DA0GN20P,DA0GR20N,DA0GR20R,DB0GR20N,DB0GR20R,DE0GR20N,DE0GR20R,DH0GR20N,DH0GR20R,DI0GR20N,DI0GR20R,DISTNAME,DL0GR20N,DL0GR20R,DR0GR20N,DR0GR20R,DS0GR20N,DS0GR20R,DW0GR20N,DW0GR20R
"'159901",1,0.1,2,0.2,0,0,884,80.7,15,1.4,0,0,0,0,196,17.9,1095,100,1,0.1,788,72,1068,97.5,14,1.3,"EAGLE PASS ISD",148,13.5,572,52.2,78,7.1,9,0.8
"'160901",1,1.4,2,2.8,0,0,58,80.6,0,0,0,0,3,4.2,11,15.3,72,100,2,2.8,41,56.9,29,40.3,0,0,"BRADY ISD",3,4.2,17,23.6,14,19.4,38,52.8
"'160904",0,0,0,0,0,0,10,100,0,0,0,0,0,0,0,0,10,100,0,0,5,50,1,10,0,0,"ROCHELLE ISD",0,0,2,20,2,20,9,90
"'160905",0,0,0,0,0,0,3,75,0,0,0,0,0,0,1,25,4,100,0,0,3,75,2,50,0,0,"LOHN ISD",0,0,1,25,1,25,2,50
"'161801",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"WACO CHARTER SCHOOL",.,.,.,.,.,.,.,.
"'161802",0,0,0,0,0,0,31,91.2,0,0,0,0,0,0,3,8.8,34,100,9,26.5,16,47.1,15,44.1,0,0,"RAPOPORT ACADEMY PUBLIC SCHOOL",2,5.9,8,23.5,4,11.8,10,29.4
"'161807",9,2,62,13.5,0,0,350,76.4,54,11.8,0,0,0,0,54,11.8,458,100,97,21.2,259,56.6,206,45,1,0.2,"HARMONY SCIENCE ACAD (WACO)",64,14,231,50.4,37,8.1,83,18.1
"'161901",0,0,0,0,0,0,42,97.7,0,0,0,0,0,0,1,2.3,43,100,0,0,5,11.6,2,4.7,0,0,"CRAWFORD ISD",1,2.3,9,20.9,3,7,41,95.3
"'161903",10,1.7,24,4.1,1,0.2,517,87.6,28,4.7,0,0,5,0.8,40,6.8,590,100,73,12.4,135,22.9,129,21.9,2,0.3,"MIDWAY ISD",2,0.3,123,20.8,52,8.8,351,59.5
"'161906",1,0.5,0,0,0,0,140,70.7,6,3,3,1.5,0,0,49,24.7,198,100,58,29.3,170,85.9,118,59.6,1,0.5,"LA VEGA ISD",32,16.2,118,59.6,15,7.6,20,10.1
"'161907",3,2.4,0,0,0,0,123,99.2,0,0,0,0,0,0,1,0.8,124,100,1,0.8,27,21.8,17,13.7,0,0,"LORENA ISD",0,0,20,16.1,12,9.7,103,83.1
"'161908",4,12.5,0,0,0,0,24,75,0,0,0,0,0,0,8,25,32,100,9,28.1,19,59.4,6,18.8,0,0,"MART ISD",1,3.1,15,46.9,4,12.5,13,40.6
"'161909",1,1.3,0,0,2,2.6,63,80.8,0,0,0,0,0,0,15,19.2,78,100,2,2.6,42,53.8,40,51.3,1,1.3,"MCGREGOR ISD",5,6.4,25,32.1,4,5.1,32,41
"'161910",3,5.7,0,0,0,0,44,83,1,1.9,0,0,0,0,8,15.1,53,100,5,9.4,25,47.2,14,26.4,0,0,"MOODY ISD",2,3.8,10,18.9,7,13.2,31,58.5
"'161912",1,2.1,0,0,0,0,45,95.7,1,2.1,0,0,0,0,1,2.1,47,100,1,2.1,18,38.3,10,21.3,0,0,"RIESEL ISD",0,0,11,23.4,5,10.6,35,74.5
"'161914",7,0.8,4,0.4,0,0,658,71.3,48,5.2,1,0.1,10,1.1,206,22.3,923,100,253,27.4,775,84,583,63.2,1,0.1,"WACO ISD",100,10.8,529,57.3,70,7.6,75,8.1
"'161916",4,4,0,0,0,0,92,92,0,0,0,0,0,0,8,8,100,100,2,2,35,35,15,15,0,0,"WEST ISD",2,2,33,33,6,6,79,79
"'161918",1,2.3,0,0,0,0,43,100,0,0,0,0,0,0,0,0,43,100,0,0,16,37.2,8,18.6,1,2.3,"AXTELL ISD",1,2.3,18,41.9,5,11.6,33,76.7
"'161919",3,5.3,0,0,1,1.8,57,100,0,0,0,0,0,0,0,0,57,100,2,3.5,26,45.6,14,24.6,0,0,"BRUCEVILLE-EDDY ISD",0,0,14,24.6,6,10.5,37,64.9
"'161920",6,3,3,1.5,0,0,187,93,0,0,0,0,1,0.5,13,6.5,201,100,6,3,44,21.9,22,10.9,0,0,"CHINA SPRING ISD",0,0,40,19.9,22,10.9,164,81.6
"'161921",3,2.1,2,1.4,0,0,114,78.6,14,9.7,0,0,0,0,17,11.7,145,100,50,34.5,103,71,51,35.2,1,0.7,"CONNALLY ISD",6,4.1,45,31,9,6.2,38,26.2
"'161922",5,3,0,0,0,0,127,77,14,8.5,0,0,0,0,24,14.5,165,100,8,4.8,39,23.6,49,29.7,1,0.6,"ROBINSON ISD",2,1.2,47,28.5,16,9.7,102,61.8
"'161923",1,2.6,0,0,0,0,31,79.5,6,15.4,0,0,0,0,2,5.1,39,100,3,7.7,16,41,12,30.8,0,0,"BOSQUEVILLE ISD",1,2.6,7,17.9,5,12.8,23,59
"'161924",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"HALLSBURG ISD",.,.,.,.,.,.,.,.
"'161925",0,0,0,0,0,0,20,100,0,0,0,0,0,0,0,0,20,100,1,5,12,60,3,15,0,0,"GHOLSON ISD",1,5,9,45,2,10,16,80
"'162904",0,0,1,4.3,0,0,21,91.3,0,0,0,0,0,0,2,8.7,23,100,0,0,6,26.1,8,34.8,0,0,"MCMULLEN COUNTY ISD",1,4.3,2,8.7,2,8.7,14,60.9
"'163901",2,1.5,0,0,1,0.8,99,76.2,8,6.2,1,0.8,0,0,22,16.9,130,100,0,0,56,43.1,79,60.8,0,0,"DEVINE ISD",5,3.8,59,45.4,14,10.8,48,36.9
"'163902",1,5.6,0,0,0,0,13,72.2,0,0,0,0,0,0,5,27.8,18,100,0,0,5,27.8,5,27.8,0,0,"D'HANIS ISD",0,0,5,27.8,1,5.6,12,66.7
"'163903",1,1.4,0,0,0,0,61,87.1,2,2.9,0,0,0,0,7,10,70,100,0,0,42,60,59,84.3,0,0,"NATALIA ISD",1,1.4,32,45.7,5,7.1,10,14.3
"'163904",1,0.7,0,0,0,0,131,90.3,2,1.4,0,0,1,0.7,11,7.6,145,100,1,0.7,71,49,99,68.3,0,0,"HONDO ISD",3,2.1,50,34.5,9,6.2,44,30.3
"'163908",5,1.4,5,1.4,2,0.5,322,88,0,0,1,0.3,2,0.5,41,11.2,366,100,12,3.3,153,41.8,213,58.2,2,0.5,"MEDINA VALLEY ISD",11,3,101,27.6,39,10.7,127,34.7
"'164901",0,0,0,0,0,0,16,88.9,0,0,0,0,0,0,2,11.1,18,100,0,0,15,83.3,12,66.7,0,0,"MENARD ISD",3,16.7,9,50,2,11.1,6,33.3
"'165802",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"MIDLAND ACADEMY CHARTER SCHOOL",.,.,.,.,.,.,.,.
"'165901",30,2.1,28,1.9,1,0.1,1010,69.1,46,3.1,0,0,5,0.3,400,27.4,1461,100,121,8.3,407,27.9,898,61.5,1,0.1,"MIDLAND ISD",105,7.2,877,60,102,7,382,26.1
"'165902",1,0.6,0,0,0,0,155,94.5,0,0,0,0,0,0,9,5.5,164,100,3,1.8,50,30.5,86,52.4,0,0,"GREENWOOD ISD",8,4.9,55,33.5,9,5.5,74,45.1
"'166901",2,1.9,0,0,0,0,96,92.3,3,2.9,0,0,2,1.9,3,2.9,104,100,13,12.5,75,72.1,52,50,0,0,"CAMERON ISD",3,2.9,46,44.2,6,5.8,37,35.6
"'166902",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"GAUSE ISD",.,.,.,.,.,.,.,.
"'166903",1,2.3,1,2.3,1,2.3,11,25.6,15,34.9,0,0,1,2.3,16,37.2,43,100,0,0,18,41.9,7,16.3,0,0,"MILANO ISD",0,0,24,55.8,6,14,33,76.7
"'166904",4,4.1,0,0,0,0,74,76.3,4,4.1,0,0,0,0,19,19.6,97,100,6,6.2,59,60.8,46,47.4,0,0,"ROCKDALE ISD",4,4.1,38,39.2,14,14.4,41,42.3
"'166905",1,2.3,0,0,0,0,40,90.9,0,0,0,0,0,0,4,9.1,44,100,1,2.3,14,31.8,7,15.9,1,2.3,"THORNDALE ISD",0,0,6,13.6,3,6.8,34,77.3
"'166907",0,0,0,0,0,0,8,80,0,0,0,0,0,0,2,20,10,100,0,0,7,70,6,60,0,0,"BUCKHOLTS ISD",0,0,2,20,0,0,4,40
"'167901",0,0,1,1.9,0,0,42,79.2,0,0,0,0,0,0,11,20.8,53,100,0,0,17,32.1,8,15.1,0,0,"GOLDTHWAITE ISD",1,1.9,9,17,7,13.2,44,83
"'167902",0,0,0,0,0,0,5,100,0,0,0,0,0,0,0,0,5,100,0,0,5,100,0,0,0,0,"MULLIN ISD",0,0,3,60,1,20,5,100
"'167904",0,0,0,0,0,0,1,20,4,80,0,0,0,0,0,0,5,100,0,0,4,80,1,20,0,0,"PRIDDY ISD",0,0,2,40,1,20,4,80
"'168901",0,0,1,1.7,0,0,39,66.1,0,0,0,0,1,1.7,19,32.2,59,100,2,3.4,33,55.9,34,57.6,0,0,"COLORADO ISD",0,0,17,28.8,5,8.5,22,37.3
"'168902",0,0,0,0,0,0,11,91.7,1,8.3,0,0,0,0,0,0,12,100,2,16.7,6,50,8,66.7,0,0,"LORAINE ISD",1,8.3,7,58.3,3,25,2,16.7
"'168903",2,11.1,0,0,0,0,16,88.9,2,11.1,0,0,0,0,0,0,18,100,0,0,5,27.8,4,22.2,1,5.6,"WESTBROOK ISD",0,0,8,44.4,2,11.1,11,61.1
"'169901",4,3.4,1,0.9,0,0,74,63.2,1,0.9,0,0,0,0,42,35.9,117,100,0,0,54,46.2,23,19.7,1,0.9,"BOWIE ISD",1,0.9,55,47,12,10.3,88,75.2
"'169902",1,1.8,0,0,0,0,47,83.9,5,8.9,0,0,0,0,4,7.1,56,100,0,0,24,42.9,13,23.2,2,3.6,"NOCONA ISD",3,5.4,21,37.5,8,14.3,40,71.4
"'169906",0,0,0,0,0,0,3,42.9,1,14.3,0,0,0,0,3,42.9,7,100,0,0,6,85.7,0,0,1,14.3,"GOLD BURG ISD",0,0,2,28.6,1,14.3,6,85.7
"'169908",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"MONTAGUE ISD",.,.,.,.,.,.,.,.
"'169909",0,0,0,0,0,0,12,100,0,0,0,0,0,0,0,0,12,100,0,0,6,50,1,8.3,0,0,"PRAIRIE VALLEY ISD",0,0,1,8.3,1,8.3,11,91.7
"'169910",0,0,0,0,0,0,9,90,0,0,0,0,0,0,1,10,10,100,0,0,3,30,2,20,0,0,"FORESTBURG ISD",0,0,3,30,2,20,8,80
"'169911",1,4.2,0,0,0,0,24,100,0,0,0,0,0,0,0,0,24,100,0,0,7,29.2,4,16.7,0,0,"SAINT JO ISD",0,0,8,33.3,5,20.8,19,79.2
"'170801",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"TEXAS SERENITY ACADEMY",.,.,.,.,.,.,.,.
"'170902",118,2.7,204,4.6,10,0.2,3607,81.9,427,9.7,0,0,7,0.2,361,8.2,4402,100,350,8,1400,31.8,1624,36.9,18,0.4,"CONROE ISD",232,5.3,1546,35.1,274,6.2,2078,47.2
"'170903",11,1.7,6,1,1,0.2,545,86.6,44,7,0,0,1,0.2,39,6.2,629,100,10,1.6,116,18.4,86,13.7,4,0.6,"MONTGOMERY ISD",2,0.3,168,26.7,28,4.5,511,81.2
"'170904",12,2.5,2,0.4,0,0,407,83.2,2,0.4,0,0,2,0.4,78,16,489,100,38,7.8,254,51.9,189,38.7,2,0.4,"WILLIS ISD",36,7.4,162,33.1,37,7.6,246,50.3
"'170906",17,1.8,13,1.4,0,0,733,79.2,74,8,0,0,3,0.3,115,12.4,925,100,25,2.7,337,36.4,299,32.3,2,0.2,"MAGNOLIA ISD",43,4.6,288,31.1,62,6.7,569,61.5
"'170907",1,0.4,0,0,0,0,197,77.9,5,2,0,0,0,0,51,20.2,253,100,1,0.4,127,50.2,107,42.3,1,0.4,"SPLENDORA ISD",20,7.9,119,47,20,7.9,143,56.5
"'170908",23,2.2,13,1.3,2,0.2,856,83.6,72,7,0,0,0,0,96,9.4,1024,100,53,5.2,629,61.4,590,57.6,4,0.4,"NEW CANEY ISD",101,9.9,347,33.9,97,9.5,339,33.1
"'171901",3,1,6,2,1,0.3,281,92.7,0,0,0,0,0,0,22,7.3,303,100,4,1.3,140,46.2,217,71.6,2,0.7,"DUMAS ISD",32,10.6,87,28.7,24,7.9,70,23.1
"'171902",0,0,0,0,0,0,30,93.8,0,0,0,0,2,6.3,0,0,32,100,0,0,11,34.4,21,65.6,1,3.1,"SUNRAY ISD",0,0,6,18.8,1,3.1,10,31.3
"'172902",3,5.5,1,1.8,0,0,48,87.3,3,5.5,0,0,0,0,4,7.3,55,100,32,58.2,47,85.5,3,5.5,0,0,"DAINGERFIELD-LONE STAR ISD",1,1.8,27,49.1,12,21.8,16,29.1
"'172905",3,5.3,0,0,0,0,55,96.5,0,0,0,0,0,0,2,3.5,57,100,10,17.5,23,40.4,7,12.3,0,0,"PEWITT CISD",2,3.5,13,22.8,8,14,37,64.9
"'173901",1,11.1,0,0,0,0,9,100,0,0,0,0,0,0,0,0,9,100,0,0,7,77.8,2,22.2,0,0,"MOTLEY COUNTY ISD",0,0,1,11.1,0,0,6,66.7
"'174801",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"STEPHEN F AUSTIN STATE UNIVERSITY",.,.,.,.,.,.,.,.
"'174901",0,0,0,0,0,0,20,100,0,0,0,0,0,0,0,0,20,100,2,10,7,35,3,15,0,0,"CHIRENO ISD",1,5,9,45,2,10,15,75
"'174902",2,4.2,0,0,0,0,1,2.1,0,0,35,72.9,0,0,12,25,48,100,2,4.2,24,50,6,12.5,0,0,"CUSHING ISD",0,0,14,29.2,5,10.4,38,79.2
"'174903",2,3.7,1,1.9,0,0,54,100,0,0,0,0,0,0,0,0,54,100,13,24.1,27,50,6,11.1,0,0,"GARRISON ISD",0,0,15,27.8,5,9.3,32,59.3
"'174904",5,1.3,12,3.1,0,0,273,71.1,7,1.8,0,0,0,0,104,27.1,384,100,100,26,249,64.8,145,37.8,1,0.3,"NACOGDOCHES ISD",37,9.6,240,62.5,35,9.1,121,31.5
"'174906",0,0,0,0,0,0,53,93,2,3.5,0,0,0,0,2,3.5,57,100,0,0,23,40.4,16,28.1,0,0,"WODEN ISD",2,3.5,10,17.5,2,3.5,41,71.9
"'174908",1,1.4,1,1.4,0,0,53,72.6,11,15.1,0,0,0,0,9,12.3,73,100,3,4.1,24,32.9,12,16.4,0,0,"CENTRAL HEIGHTS ISD",1,1.4,16,21.9,9,12.3,56,76.7
"'174909",0,0,0,0,0,0,21,84,3,12,0,0,0,0,1,4,25,100,1,4,12,48,3,12,0,0,"MARTINSVILLE ISD",0,0,3,12,2,8,21,84
"'174910",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"ETOILE ISD",.,.,.,.,.,.,.,.
"'174911",1,3.8,0,0,0,0,25,96.2,0,0,0,0,0,0,1,3.8,26,100,0,0,6,23.1,4,15.4,0,0,"DOUGLASS ISD",0,0,4,15.4,1,3.8,21,80.8
"'175902",5,7.8,0,0,0,0,53,82.8,6,9.4,0,0,0,0,5,7.8,64,100,2,3.1,32,50,16,25,0,0,"BLOOMING GROVE ISD",3,4.7,21,32.8,6,9.4,41,64.1
"'175903",5,1.3,2,0.5,6,1.6,279,74,17,4.5,0,0,0,0,81,21.5,377,100,50,13.3,242,64.2,209,55.4,0,0,"CORSICANA ISD",26,6.9,166,44,38,10.1,105,27.9
"'175904",1,3.1,0,0,0,0,21,65.6,8,25,0,0,0,0,3,9.4,32,100,2,6.3,18,56.3,5,15.6,1,3.1,"DAWSON ISD",1,3.1,8,25,2,6.3,23,71.9
"'175905",1,4,0,0,0,0,21,84,0,0,0,0,0,0,4,16,25,100,0,0,15,60,12,48,0,0,"FROST ISD",8,32,13,52,3,12,12,48
"'175907",1,2.6,1,2.6,0,0,38,97.4,0,0,0,0,0,0,1,2.6,39,100,12,30.8,24,61.5,8,20.5,0,0,"KERENS ISD",0,0,11,28.2,3,7.7,17,43.6
"'175910",3,4.3,1,1.4,1,1.4,62,88.6,0,0,0,0,0,0,8,11.4,70,100,0,0,23,32.9,11,15.7,0,0,"MILDRED ISD",1,1.4,34,48.6,3,4.3,54,77.1
"'175911",2,3.1,0,0,0,0,58,89.2,1,1.5,0,0,0,0,6,9.2,65,100,0,0,41,63.1,31,47.7,1,1.5,"RICE ISD",4,6.2,26,40,9,13.8,31,47.7
"'176901",2,10.5,0,0,0,0,13,68.4,1,5.3,0,0,0,0,5,26.3,19,100,1,5.3,14,73.7,1,5.3,0,0,"BURKEVILLE ISD",0,0,10,52.6,1,5.3,15,78.9
"'176902",6,7.6,0,0,0,0,54,68.4,3,3.8,0,0,0,0,22,27.8,79,100,32,40.5,50,63.3,2,2.5,0,0,"NEWTON ISD",0,0,46,58.2,18,22.8,39,49.4
"'176903",0,0,0,0,0,0,32,86.5,0,0,0,0,0,0,5,13.5,37,100,2,5.4,14,37.8,0,0,1,2.7,"DEWEYVILLE ISD",0,0,18,48.6,5,13.5,34,91.9
"'177901",0,0,0,0,0,0,27,84.4,4,12.5,0,0,0,0,1,3.1,32,100,0,0,12,37.5,19,59.4,0,0,"ROSCOE COLLEGIATE ISD",5,15.6,15,46.9,1,3.1,13,40.6
"'177902",2,1.7,2,1.7,0,0,76,65.5,1,0.9,0,0,0,0,39,33.6,116,100,5,4.3,73,62.9,70,60.3,1,0.9,"SWEETWATER ISD",4,3.4,48,41.4,13,11.2,36,31
"'177903",0,0,0,0,0,0,15,93.8,0,0,0,0,0,0,1,6.3,16,100,0,0,6,37.5,5,31.3,0,0,"BLACKWELL CISD",2,12.5,4,25,2,12.5,11,68.8
"'177905",0,0,0,0,0,0,15,88.2,0,0,0,0,0,0,2,11.8,17,100,0,0,4,23.5,4,23.5,0,0,"HIGHLAND ISD",0,0,7,41.2,2,11.8,13,76.5
"'178801",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"DR M L GARZA-GONZALEZ CHARTER SCHO",.,.,.,.,.,.,.,.
"'178807",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"CORPUS CHRISTI MONTESSORI SCHOOL",.,.,.,.,.,.,.,.
"'178808",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"SEASHORE CHARTER SCHOOLS",.,.,.,.,.,.,.,.
"'178901",0,0,0,0,0,0,25,83.3,1,3.3,0,0,0,0,4,13.3,30,100,1,3.3,21,70,20,66.7,0,0,"AGUA DULCE ISD",0,0,13,43.3,3,10,9,30
"'178902",0,0,1,0.7,0,0,111,77.6,9,6.3,0,0,0,0,23,16.1,143,100,2,1.4,72,50.3,121,84.6,0,0,"BISHOP CISD",4,2.8,64,44.8,18,12.6,19,13.3
"'178903",2,0.7,1,0.4,0,0,236,87.7,4,1.5,0,0,3,1.1,26,9.7,269,100,3,1.1,119,44.2,148,55,1,0.4,"CALALLEN ISD",3,1.1,64,23.8,19,7.1,114,42.4
"'178904",36,1.4,56,2.1,1,0,1996,75.7,47,1.8,0,0,1,0,592,22.5,2636,100,97,3.7,1667,63.2,2106,79.9,4,0.2,"CORPUS CHRISTI ISD",75,2.8,1250,47.4,212,8,336,12.7
"'178905",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"DRISCOLL ISD",.,.,.,.,.,.,.,.
"'178906",1,1.2,2,2.5,0,0,63,77.8,12,14.8,0,0,0,0,6,7.4,81,100,0,0,20,24.7,46,56.8,1,1.2,"LONDON ISD",2,2.5,11,13.6,1,1.2,31,38.3
"'178908",0,0,0,0,0,0,47,97.9,0,0,0,0,0,0,1,2.1,48,100,0,0,8,16.7,7,14.6,0,0,"PORT ARANSAS ISD",0,0,14,29.2,2,4.2,41,85.4
"'178909",0,0,0,0,0,0,144,84.7,2,1.2,0,0,1,0.6,23,13.5,170,100,3,1.8,137,80.6,162,95.3,0,0,"ROBSTOWN ISD",11,6.5,93,54.7,24,14.1,5,2.9
"'178912",1,0.3,1,0.3,1,0.3,265,86.9,15,4.9,0,0,0,0,25,8.2,305,100,3,1,152,49.8,236,77.4,0,0,"TULOSO-MIDWAY ISD",11,3.6,91,29.8,24,7.9,63,20.7
"'178913",0,0,0,0,0,0,49,83.1,0,0,0,0,0,0,10,16.9,59,100,0,0,48,81.4,54,91.5,0,0,"BANQUETE ISD",1,1.7,33,55.9,8,13.6,5,8.5
"'178914",19,4.6,9,2.2,0,0,310,74.9,51,12.3,0,0,0,0,53,12.8,414,100,7,1.7,133,32.1,169,40.8,2,0.5,"FLOUR BLUFF ISD",11,2.7,132,31.9,47,11.4,208,50.2
"'178915",0,0,0,0,0,0,106,72.1,23,15.6,0,0,0,0,18,12.2,147,100,16,10.9,119,81,126,85.7,0,0,"WEST OSO ISD",6,4.1,56,38.1,21,14.3,5,3.4
"'179901",3,1.9,0,0,0,0,116,73,18,11.3,0,0,0,0,25,15.7,159,100,0,0,85,53.5,110,69.2,0,0,"PERRYTON ISD",18,11.3,63,39.6,17,10.7,46,28.9
"'180901",2,4.3,0,0,0,0,19,41.3,13,28.3,0,0,0,0,14,30.4,46,100,11,23.9,41,89.1,7,15.2,0,0,"BOYS RANCH ISD",0,0,41,89.1,9,19.6,26,56.5
"'180902",0,0,0,0,0,0,43,100,0,0,0,0,0,0,0,0,43,100,0,0,9,20.9,9,20.9,0,0,"VEGA ISD",0,0,2,4.7,0,0,34,79.1
"'180903",0,0,0,0,0,0,12,100,0,0,0,0,0,0,0,0,12,100,0,0,7,58.3,8,66.7,0,0,"ADRIAN ISD",1,8.3,5,41.7,1,8.3,4,33.3
"'180904",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"WILDORADO ISD",.,.,.,.,.,.,.,.
"'181901",3,1.9,4,2.5,0,0,139,86.3,8,5,0,0,0,0,14,8.7,161,100,3,1.9,45,28,16,9.9,1,0.6,"BRIDGE CITY ISD",2,1.2,41,25.5,6,3.7,134,83.2
"'181905",2,1.7,2,1.7,0,0,87,73.7,0,0,0,0,0,0,31,26.3,118,100,0,0,69,58.5,12,10.2,0,0,"ORANGEFIELD ISD",0,0,68,57.6,14,11.9,102,86.4
"'181906",2,1.8,2,1.8,0,0,75,68.2,7,6.4,0,0,0,0,28,25.5,110,100,77,70,88,80,13,11.8,0,0,"WEST ORANGE-COVE CISD",1,0.9,56,50.9,16,14.5,16,14.5
"'181907",4,1.4,4,1.4,1,0.3,187,63.2,13,4.4,0,0,2,0.7,94,31.8,296,100,1,0.3,146,49.3,25,8.4,2,0.7,"VIDOR ISD",1,0.3,132,44.6,29,9.8,259,87.5
"'181908",7,3,3,1.3,1,0.4,200,86.6,7,3,0,0,0,0,24,10.4,231,100,19,8.2,99,42.9,25,10.8,1,0.4,"LITTLE CYPRESS-MAURICEVILLE CISD",6,2.6,85,36.8,28,12.1,175,75.8
"'182901",0,0,0,0,0,0,12,92.3,0,0,0,0,0,0,1,7.7,13,100,0,0,4,30.8,1,7.7,0,0,"GORDON ISD",0,0,1,7.7,1,7.7,12,92.3
"'182902",0,0,0,0,0,0,8,47.1,7,41.2,0,0,0,0,2,11.8,17,100,0,0,11,64.7,4,23.5,0,0,"GRAFORD ISD",0,0,3,17.6,1,5.9,13,76.5
"'182903",1,0.5,1,0.5,0,0,163,77.6,1,0.5,0,0,0,0,46,21.9,210,100,6,2.9,124,59,75,35.7,2,1,"MINERAL WELLS ISD",1,0.5,116,55.2,19,9,125,59.5
"'182904",0,0,0,0,0,0,26,86.7,3,10,0,0,1,3.3,0,0,30,100,0,0,5,16.7,3,10,0,0,"SANTO ISD",1,3.3,4,13.3,1,3.3,27,90
"'182905",0,0,0,0,0,0,13,76.5,4,23.5,0,0,0,0,0,0,17,100,0,0,12,70.6,7,41.2,0,0,"STRAWN ISD",3,17.6,6,35.3,3,17.6,10,58.8
"'182906",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"PALO PINTO ISD",.,.,.,.,.,.,.,.
"'183801",1,2.6,0,0,0,0,31,81.6,0,0,0,0,0,0,7,18.4,38,100,1,2.6,11,28.9,0,0,0,0,"PANOLA CHARTER SCHOOL",0,0,13,34.2,3,7.9,36,94.7
"'183901",0,0,0,0,0,0,37,90.2,2,4.9,0,0,0,0,2,4.9,41,100,4,9.8,7,17.1,3,7.3,0,0,"BECKVILLE ISD",0,0,10,24.4,4,9.8,34,82.9
"'183902",4,2,2,1,0,0,139,70.2,15,7.6,0,0,0,0,44,22.2,198,100,58,29.3,95,48,29,14.6,1,0.5,"CARTHAGE ISD",4,2,72,36.4,15,7.6,104,52.5
"'183904",0,0,0,0,0,0,15,78.9,3,15.8,0,0,0,0,1,5.3,19,100,0,0,7,36.8,1,5.3,0,0,"GARY ISD",0,0,0,0,1,5.3,18,94.7
"'184801",3,4.6,0,0,0,0,0,0,42,64.6,0,0,0,0,23,35.4,65,100,1,1.5,29,44.6,7,10.8,0,0,"CROSSTIMBERS ACADEMY",0,0,48,73.8,3,4.6,54,83.1
"'184901",1,2.6,0,0,0,0,26,68.4,0,0,0,0,0,0,12,31.6,38,100,0,0,17,44.7,2,5.3,0,0,"POOLVILLE ISD",0,0,10,26.3,7,18.4,35,92.1
"'184902",2,0.9,1,0.5,0,0,184,86.8,1,0.5,0,0,0,0,27,12.7,212,100,2,0.9,87,41,52,24.5,2,0.9,"SPRINGTOWN ISD",3,1.4,84,39.6,16,7.5,153,72.2
"'184903",14,3,5,1.1,1,0.2,400,84.7,9,1.9,0,0,1,0.2,62,13.1,472,100,17,3.6,143,30.3,123,26.1,3,0.6,"WEATHERFORD ISD",22,4.7,181,38.3,38,8.1,309,65.5
"'184904",1,1.4,0,0,0,0,63,87.5,0,0,0,0,0,0,9,12.5,72,100,1,1.4,31,43.1,14,19.4,0,0,"MILLSAP ISD",2,2.8,22,30.6,9,12.5,56,77.8
"'184907",13,2.9,3,0.7,1,0.2,407,91.9,5,1.1,1,0.2,3,0.7,27,6.1,443,100,8,1.8,41,9.3,58,13.1,3,0.7,"ALEDO ISD",5,1.1,114,25.7,28,6.3,357,80.6
"'184908",1,1.1,0,0,0,0,68,76.4,0,0,0,0,0,0,21,23.6,89,100,1,1.1,20,22.5,13,14.6,0,0,"PEASTER ISD",0,0,9,10.1,12,13.5,74,83.1
"'184909",4,4.1,0,0,0,0,94,95.9,0,0,0,0,0,0,4,4.1,98,100,0,0,11,11.2,10,10.2,1,1,"BROCK ISD",0,0,11,11.2,4,4.1,83,84.7
"'184911",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"GARNER ISD",.,.,.,.,.,.,.,.
"'185901",0,0,0,0,0,0,18,90,0,0,0,0,0,0,2,10,20,100,0,0,18,90,20,100,0,0,"BOVINA ISD",1,5,4,20,1,5,0,0
